% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Sep 27 2019, 15:21"
% Table,time_to_equilibrium_3 {tbl21} - Pressure {gev28} (sw1(t))
% K_ads (m^3/kg),Pressurization cycles index,t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1)
5.28E-4,3,7,15,7.184582739616841E-7,1.7684927047358048,0.18440241452985895,0.002329773045260069,1.5627080237296913E-7,29977.33425672523,0.7708799999999993,0.015798087325877355,0.07368720484612998,38887.160461712876,207571.0693747025,-4.36994687367475,-0.207837685800183
5.28E-4,3,8,15,7.085118148779482E-7,1.7440093896080593,0.18203482407765884,0.0023033134178014085,1.5449600837667535E-7,29636.876589292588,0.7708799999999993,0.01561866576975086,0.07274111570143083,38445.51238752154,205213.64954875654,-4.369946873496958,-0.2078376857917271
5.28E-4,3,9,15,7.015674564322378E-7,1.7269157772224857,0.18006714122043274,0.0022808711385025136,1.5299068020737055E-7,29348.110389771784,0.7708799999999993,0.015466485672690768,0.0719548296316833,38070.91945539093,203214.15525348388,-4.369946873485305,-0.20783768579117287
5.28E-4,3,10,15,6.942601278838067E-7,1.708928710057473,0.17833260185717803,0.002260874843200942,1.5164941775366463E-7,29090.81681803486,0.7708799999999993,0.015330891684250154,0.07126170770212673,37737.153406541685,201432.58583936267,-4.369946873484579,-0.20783768579113834
5.28E-4,3,11,15,6.886686778182829E-7,1.69516529608042,0.17679555412184983,0.002242972603809617,1.5044861524646454E-7,28860.46759356017,0.7708799999999993,0.015209497395734229,0.0706475034270896,37438.34007051701,199837.58628255207,-4.36994687348447,-0.20783768579113315
5.28E-4,3,12,15,6.834773099970366E-7,1.6823866888151024,0.1754304464566351,0.0022269256077656363,1.4937225420238345E-7,28653.98990029067,0.7708799999999993,0.015100683429783088,0.07010200640406981,37170.493332672646,198407.87958392003,-4.369946873484466,-0.2078376857911329
5.28E-4,3,13,15,6.78212397037571E-7,1.6694270494075947,0.17420154188320408,0.0022123848918873677,1.483969277249837E-7,28466.89360732696,0.7708799999999995,0.015002083482593851,0.06961093613652676,36927.788510957645,197112.37487780023,-4.369946873484466,-0.2078376857911329
5.28E-4,3,14,15,6.73864587154245E-7,1.658724869004213,0.1730632652730757,0.0021988512101572748,1.4748914861434247E-7,28292.75488520013,0.7708799999999993,0.01491031218914201,0.06915608080311947,36701.89249325463,195906.59185313707,-4.369946873484465,-0.20783768579113288
5.28E-4,3,15,15,6.70281799043363E-7,1.6499057978537468,0.17203723887600936,0.002186571374716913,1.466654719299644E-7,28134.74948104188,0.7708799999999993,0.014827043171574454,0.06874608065485178,36496.92491832958,194812.52023131665,-4.369946873484466,-0.2078376857911329
5.28E-4,3,16,15,6.664968668346746E-7,1.6405891468503762,0.1710917234457478,0.0021752092803933986,1.4590335323338764E-7,27988.552708748808,0.7708799999999992,0.01474999731567319,0.06836825268891927,36307.27572222502,193800.21473062984,-4.369946873484466,-0.2078376857911329
