% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 13 2019, 14:39"
% Table,parametric_sweep_4 {tbl27} - 
% matsw.comp1.sw1,K_ads (m^3/kg),p_in (Pa),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1),Q_ck (L/h)
1,5.28,1,1,9.655899304059804E-7,2.376809913083971,0.2478321981443967,23.049008479645924,0.0015468410006993145,2.967295810595492E8,7708.800000000016,0.01563768076775569,0.09903374637849877,38492.31800793241,205463.48760754184,-0.4180356246280886,-0.019882062486419726,-0.4176175890034515
1,5.28,2,2,9.047967151257716E-7,2.227166765225649,0.2322287668111547,22.174112435995337,0.0014881258905520226,2.854662967090598E8,7708.800000000016,0.01504410447367511,0.0927986152177354,37031.22362871775,197664.48867961718,-0.8360671700010615,-0.03976393096065405,-0.8352311028310423
1,5.28,3,3,8.465527879845221E-7,2.08379871731316,0.21727964603282507,21.30492949242461,0.001429794192014487,2.742765619776242E8,7708.800000000016,0.01445440425241222,0.08682494655471501,35579.6702440877,189916.41747244383,-1.254094636238447,-0.05964560542838784,-1.2528405416021815
1,5.28,4,4,7.908743486740637E-7,1.9467456450607377,0.20298899368751874,20.443696353256914,0.0013719960124527976,2.631891718712122E8,7708.800000000016,0.013870097603872025,0.08111440187753073,34141.39319624486,182239.2124172748,-1.6721180234597688,-0.0795270858953057,-1.6704459054362728
1,5.28,5,5,7.377653683744756E-7,1.8160173235705073,0.18935782903429957,19.59254835640024,0.0013148746564359583,2.5223161641931564E8,7708.800000000016,0.013292633255559048,0.07566738848210447,32719.95854339401,174651.90834479005,-2.0901373317845486,-0.09940837236709217,-2.088047194452719
1,5.28,6,6,6.8721781806337E-7,1.6915939893182197,0.1763840913119637,18.753505925161708,0.0012585657165042334,2.414299062575768E8,7708.800000000016,0.012723381970763186,0.07048308288825916,31318.740433994502,167172.51571385743,-2.5081525613322944,-0.11928946484943113,-2.505644408770908
1,5.28,7,7,6.392122034872091E-7,1.5734276569908574,0.1640627770469315,17.928458883167675,0.0012031960205284105,2.3080837070035312E8,7708.800000000016,0.012163625906962077,0.0655594857079524,29940.894912353804,159817.8807915748,-2.9261637122225252,-0.139170363348007,-2.9232375485102393
1,5.28,8,8,5.937182170679349E-7,1.4614437241617577,0.15238610737422723,17.11915335936401,0.0011488827528918714,2.2038948915759575E8,7708.800000000016,0.011614549731472825,0.06089348850673988,28589.338049708833,152603.56892182163,-3.344170784574738,-0.15905106786850315,-3.340826613790091
1,5.28,9,9,5.506955319968153E-7,1.3555429259610834,0.141343731852802,16.327180828299298,0.0010957327189734774,2.101937500410508E8,7708.800000000016,0.011077233185793317,0.05648095524837844,27266.727641273716,145543.7668281383,-3.7621737785084344,-0.17893157841660312,-3.7584116047298446
1,5.28,10,10,5.100945060340973E-7,1.2556030674861773,0.13092290910558538,15.553974522569932,0.0010438421043833714,2.0023960457859915E8,7708.800000000016,0.010552648651613076,0.052316794478590785,25975.45721494901,138651.25063354417,-4.180172694143115,-0.1988118949979905,-4.175992521448882
1,5.28,11,11,4.7185714765283923E-7,1.1614814019749111,0.12110875479384957,14.800801015750059,9.93295910085324E-4,1.905433584541218E8,7708.800000000016,0.010041655440222626,0.048395058415621243,24717.641974642218,131937.31082908524,-4.598167531598274,-0.21869201761834844,-4.5935693640665765
1,5.28,12,12,4.3591803774552275E-7,1.07301689959634,0.11188447818614079,14.068760304459353,9.441679579044092E-4,1.8111917286402813E8,7708.800000000016,0.009544999848192527,0.044709037483180884,23495.118937322077,125411.75300540202,-5.016158290993385,-0.2385719462833592,-5.0111421327022825
