% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Nov 1 2019, 00:45"
% Table,time_to_equilibrium_final {tbl31} - Pressure {gev21} (sw1(t))
% Switch 1 index,K_ads (m^3/kg),Pressurization cycles index,t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1),Q_ck (L/h)
1,5.28E-6,2,139,-15,2.0323053068847234E-6,5.002541190322726,0.5216196603189464,3.172699936727685E-5,2.128698800398791E-9,408.3470136612196,0.0077088,0.02151993144498472,0.2084392162634466,52971.540792499465,282750.37925565423,5.690834397963707,0.27066000702892906,5.685143563565625
1,5.28E-6,2,140,-15,2.0325236580827764E-6,5.00307866412576,0.5216757032163273,3.1730044396752906E-5,2.1289031043267424E-9,408.38620516113633,0.0077088,0.021521996841236454,0.20846161100524008,52976.62478740354,282777.5164970057,5.690834397963707,0.27066000702892906,5.685143563565625
1,5.28E-6,2,141,-15,2.0327460374388567E-6,5.003626053282743,0.5217327799969602,3.1733152055180664E-5,2.129111610296397E-9,408.426202736191,0.0077088,0.021524104717734492,0.20848441888678096,52981.81334788703,282805.2118863136,5.690834397963709,0.2706600070289292,5.685143563565627
1,5.28E-6,2,142,-15,2.032965990180296E-6,5.004167469301906,0.5217892339529124,3.173622468771529E-5,2.1293177662304842E-9,408.4657495053345,0.0077088,0.021526188836712624,0.2085069778875795,52986.94342898173,282832.5951255668,5.690834397963707,0.27066000702892906,5.685143563565625
1,5.28E-6,2,143,-15,2.033183516307096E-6,5.004702912183248,0.5218450650841837,3.1739262294356715E-5,2.129521572129015E-9,408.50484546856575,0.0077088,0.02152824919817082,0.20852928800763545,52992.01503068762,282859.6662147661,5.690834397963708,0.2706600070289291,5.685143563565626
1,5.28E-6,2,144,-15,2.033398615819255E-6,5.005232381926771,0.5219002733907737,3.174226487510491E-5,2.1297230279919823E-9,408.5434906258847,0.0077088,0.021530285802109105,0.20855134924694882,52997.02815300503,282886.425153911,5.690834397963707,0.27066000702892906,5.685143563565625
1,5.28E-6,2,145,-15,2.0336112887167743E-6,5.005755878532473,0.5219548588726829,3.174523242996006E-5,2.1299221338193905E-9,408.58168497729326,0.0077088,0.021532298648527404,0.20857316160551978,53001.98279593361,282912.8719430016,5.690834397963707,0.27066000702892906,5.685143563565625
1,5.28E-6,2,146,-15,2.033821534999653E-6,5.006273402000354,0.5220088215299115,3.174816495892195E-5,2.130118889611233E-9,408.6194285227891,0.0077088,0.021534287737425793,0.20859472508334828,53006.8789594735,282939.00658203766,5.690834397963707,0.27066000702892906,5.6851435635656244
1,5.28E-6,2,147,-15,2.0340293546678913E-6,5.006784952330415,0.5220621613624583,3.175106246199073E-5,2.1303132953675177E-9,408.6567212623738,0.0077088,0.021536253068804263,0.20861603968043402,53011.71664362468,282964.82907101925,5.690834397963707,0.27066000702892906,5.6851435635656244
1,5.28E-6,2,148,-15,2.03423474772149E-6,5.007290529522656,0.5221148783703253,3.175392493916631E-5,2.1305053510882397E-9,408.69356319604645,0.0077088,0.021538194642662798,0.20863710539677766,53016.49584838705,282990.33940994664,5.690834397963708,0.2706600070289291,5.685143563565626
