% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Sep 23 2019, 17:08"
% Table,transient_parametric_sweep_2 {tbl20} - Pressure {gev28} (sw1(t))
% K_ads (m^3/kg),t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1)
5.28E-6,54,-5,1.27622145676926E-6,3.1414327285541215,0.3275620207338821,2.4368231336299148E-5,1.6345124565163447E-9,313.54754382605614,0.007708799999999992,0.016523989210505314,0.13089378348525632,40673.97569350043,217108.69423682932,1.4561717043265954,0.0692565300915083
5.28E-6,55,-5,1.2925819423907321E-6,3.1817042384192185,0.3317592802952594,2.4642804305592714E-5,1.6529295887381821E-9,317.0804912498924,0.007708799999999992,0.01671017591890813,0.13257100840598268,41132.27626217995,219555.0013985336,1.4567707103264438,0.06928501922979483
5.28E-6,56,-5,1.3053088091256765E-6,3.213031556637415,0.33502581154744415,2.486200113819819E-5,1.6676323362777175E-9,319.9009104887527,0.007708799999999992,0.016858812315492,0.13387631429435567,41498.14633778965,221507.9350132491,1.4567809777653293,0.06928550755626622
5.28E-6,57,-5,1.3160749010967745E-6,3.2395324068599525,0.3377890814618103,2.50496119535315E-5,1.6802164344179361E-9,322.31491048453154,0.007708799999999993,0.01698603037434733,0.13498051695213634,41811.29494662356,223179.45308854955,1.45678124559702,0.06928552029452607
5.28E-6,58,-5,1.3253840492011683E-6,3.26244697421422,0.3401784050750847,2.521325803426315E-5,1.691193084865994E-9,324.42055475399223,0.007708799999999992,0.017096998053332046,0.13593529066800075,42084.44307207252,224637.45742272926,1.456781237356664,0.06928551990260905
5.28E-6,59,-5,1.3333853909167687E-6,3.2821423621928574,0.3422320618954015,2.5355047965770475E-5,1.700703722140356E-9,326.24497459595096,0.007708799999999993,0.017193145174805524,0.13675593193339936,42321.11023712528,225900.73445176976,1.4567812263966553,0.0692855193813435
5.28E-6,60,-5,1.3404394962686948E-6,3.2995061177586873,0.3440425968610513,2.5480637609416278E-5,1.7091277162380585E-9,327.8609443293174,0.007708799999999992,0.017278306953184667,0.137479421705673,42530.736862977006,227019.6750578936,1.4567812120152566,0.06928551869735425
5.28E-6,61,-5,1.346539853149857E-6,3.314522211290649,0.34560833866658475,2.5589972318585165E-5,1.7164614017074686E-9,329.2677608127023,0.007708799999999993,0.01735244633284289,0.13810509213116415,42713.2317368076,227993.79236722252,1.4567811898421488,0.06928551764278595
5.28E-6,62,-5,1.3520182633934525E-6,3.328007376540295,0.3470144494626715,2.568848452405197E-5,1.7230691618166097E-9,330.53532346978324,0.007708799999999993,0.017419247020909724,0.13866697400528039,42877.662343008415,228871.48660773275,1.4567811844875815,0.06928551738811906
5.28E-6,63,-5,1.3567344201879179E-6,3.3396162467943897,0.3482249173052641,2.5773877050319796E-5,1.7287969122615194E-9,331.6340744009802,0.007708799999999992,0.017477151312905063,0.1391506769551804,43020.19437538659,229632.2911002593,1.456781185544775,0.0692855174383999
