% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Nov 1 2019, 00:45"
% Table,sand_time_to_equilibrium_final {tbl32} - Pressure {gev21} (sw1(t))
% Switch 1 index,Pressurization cycles index,K_ads (m^3/kg),t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1),Q_ck (L/h)
2,2,0,97,-15,7.62801892569418E-6,18.7764499492649,1.9578380410895593,0,0,0,0,0.008432391451962494,0.7823520812193716,20756.421502451132,110793.19128733526,95.31197628391763,4.533103296798971,95.21666430763175
2,2,0,98,-15,7.626493230266834E-6,18.772694433696778,1.9574464499600825,0,0,0,0,0.008430413898859235,0.7821956014040327,20751.55373439407,110767.20821711166,95.31197628391763,4.533103296798971,95.21666430763175
2,2,0,99,-15,7.6249675348394884E-6,18.76893891812865,1.9570548588306074,0,0,0,0,0.00842843634575599,0.7820391215886945,20746.685966336998,110741.22514688797,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,100,-15,7.623441839412142E-6,18.765183402560528,1.956663267701132,0,0,0,0,0.008426458792652738,0.7818826417733561,20741.818198279943,110715.24207666439,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,101,-15,7.6219161439847965E-6,18.761427886992404,1.9562716765716575,0,0,0,0,0.008424481239549494,0.7817261619580179,20736.950430222867,110689.25900644068,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,102,-15,7.620390448557452E-6,18.757672371424285,1.955880085442178,0,0,0,0,0.00842250368644624,0.7815696821426781,20732.082662165813,110663.27593621725,95.31197628391762,4.53310329679897,95.21666430763172
2,2,0,103,-15,7.6188647531301055E-6,18.75391685585616,1.9554884943127053,0,0,0,0,0.008420526133342982,0.7814132023273409,20727.214894108733,110637.29286599356,95.31197628391757,4.533103296798968,95.21666430763167
2,2,0,104,-15,7.61733905770276E-6,18.750161340288038,1.9550969031832306,0,0,0,0,0.008418548580239748,0.7812567225120026,20722.347126051664,110611.30979576982,95.31197628391757,4.533103296798968,95.21666430763167
2,2,0,105,-15,7.615813362275414E-6,18.74640582471991,1.9547053120537505,0,0,0,0,0.008416571027136494,0.7811002426966625,20717.47935799462,110585.32672554613,95.31197628391757,4.533103296798968,95.21666430763167
2,2,0,106,-15,7.614287666848067E-6,18.742650309151788,1.954313720924279,0,0,0,0,0.008414593474033243,0.7809437628813255,20712.611589937518,110559.34365532275,95.31197628391757,4.533103296798968,95.21666430763167
2,2,0,107,-15,7.612761971420722E-6,18.73889479358367,1.953922129794802,0,0,0,0,0.008412615920929987,0.7807872830659867,20707.74382188047,110533.36058509906,95.31197628391757,4.533103296798968,95.21666430763167
2,2,0,108,-15,7.611535251242891E-6,18.73587520878122,1.9536072748562765,0,0,0,0,0.008411038736625133,0.7806614670325519,20703.86156589115,110512.63796051749,95.31197628391757,4.533103296798968,95.21666430763167
2,2,0,109,-15,7.610351815027971E-6,18.73296216791517,1.9533035293538907,0,0,0,0,0.008409519515473574,0.7805400903297984,20700.121986821927,110492.67691380715,95.31197628391757,4.533103296798968,95.21666430763167
2,2,0,110,-15,7.609168378813051E-6,18.73004912704911,1.9529997838515099,0,0,0,0,0.008408000294322013,0.7804187136270471,20696.382407752717,110472.7158670968,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,111,-15,7.60798494259813E-6,18.727136086183055,1.9526960383491256,0,0,0,0,0.008406481073170458,0.7802973369242944,20692.642828683503,110452.75482038643,95.31197628391759,4.533103296798969,95.21666430763169
2,2,0,112,-15,7.606801506383212E-6,18.724223045317004,1.9523922928467425,0,0,0,0,0.00840496185201889,0.7801759602215422,20688.903249614297,110432.79377367618,95.31197628391757,4.533103296798968,95.21666430763167
