% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 7 2019, 09:57"
% Table,sand_parametric_sweep_2 {tbl25} - 
% K_ads (m^3/kg),p_in (Pa),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads_vol (ug/m^3),c_ads/c_gas (1),alpha_ck (1),n_ck (ug/s),c_gas (ug/m^3),c_liq (ug/m^3),u_ck (cm/h),Pe (1),Q_ck (L/h)
0,-3,-3,2.64904683524328E-6,6.5206570408027025,0.6799150234404031,0,0,0,0,0.007402922447647686,0.27169404336677916,18222.372567579445,97266.99803964299,21.00517652830959,0.9990206759188897,20.984171351780827
0,-2,-2,2.250055653707173E-6,5.53853599164327,0.5775083408036564,0,0,0,0,0.007162625357064973,0.23077233298513605,17630.87871599992,94109.73456647676,14.003382689832804,0.6660105341696682,13.989379307142668
0,-1,-1,1.8585612433293755E-6,4.57486832465374,0.47702580962773555,0,0,0,0,0.00691362404258995,0.190619513527239,17017.959324466563,90838.10629558942,7.001657181063676,0.3330036422284471,6.994655523882462
0,0,0,1.4719850608699853E-6,3.623306928145265,0.37780561062576573,0,0,0,0,0.00668542044352575,0.1509711220060527,16456.23373125419,87839.73920748485,0,0,0
0,1,1,1.2071722184213545E-6,2.9714672918524387,0.30983768058188443,0,0,0,0,0.006038567118545583,0.12381113716051835,14863.99737220497,79340.73337057028,-7.001588855360423,-0.33300039261089903,-6.994587266504912
0,2,2,9.7415398276531E-7,2.3978904193142565,0.2500302822942012,0,0,0,0,0.005382172478944356,0.09991210080476065,13248.27496544435,70716.36420084999,-14.003109387019686,-0.6659975356994708,-13.989106277632365
0,3,3,7.742517607709503E-7,1.9058289676336875,0.19872257336854834,0,0,0,0,0.004737771947208775,0.0794095403180702,11662.0761831292,62249.58561437608,-21.004561596979777,-0.9989914293609315,-20.983557035382344
0,4,4,6.068110978637939E-7,1.4936719898949558,0.15574657885958754,0,0,0,0,0.0041235234067837695,0.06223633291228983,10150.096849038939,54178.97404173195,-28.005945487242727,-1.331982073690499,-27.97793954175488
0,5,5,4.6960833870445426E-7,1.1559459347617165,0.12053156643745222,0,0,0,0,0.003552989424265414,0.048164413948404865,8745.72136551378,46682.72804542325,-35.00726105981025,-1.664969468783376,-34.97225379874968
0,6,6,3.5938092081064783E-7,0.8846199698839597,0.09224015368326437,0,0,0,0,0.0030348081865022697,0.036859165411831644,7470.212721620061,39874.34476245338,-42.008508316684306,-1.9979536147347776,-41.96649980836671
0,7,7,2.7235361466391364E-7,0.6704013275338031,0.06990337499309908,0,0,0,0,0.002573083081294989,0.027933388647241784,6333.671450197532,33807.738605134946,-49.00968725986641,-2.3309345116398967,-48.96067757260549
0,8,8,2.0467369627054863E-7,0.5038064865059665,0.052532374719091716,0,0,0,0,0.0021682146655676205,0.020991936937748597,5337.0835263872395,28488.172490892888,-56.01079789135829,-2.663912159593937,-55.954787093465725
0,9,9,1.5271658504611748E-7,0.37591350303055643,0.03919685341910294,0,0,0,0,0.0018178928142002751,0.01566306262627319,4474.762552565837,23885.2936857774,-63.011840213161555,-2.9968865586920965,-62.94882837294703
0,10,10,1.1326460709408771E-7,0.27880203849019064,0.02907094995935483,0,0,0,0,0.0015180515464657388,0.011616751603757938,3736.700073803777,19945.679269013315,-70.01281422727757,-3.3298577090295614,-69.94280141304877
0,11,11,8.358261928063664E-8,0.2057395088867739,0.021452651493866607,0,0,0,0,0.0012636675087083925,0.00857247953694891,3110.531051496581,16603.32739691955,-77.01371993570775,-3.6628256107015202,-76.93670621577037
0,12,12,6.14220760300708E-8,0.1511910953018006,0.01576483726453578,0,0,0,0,0.0010493648583936837,0.006299628970908361,2583.022791904436,13787.604874434606,-84.01455734045345,-3.9957902638031597,-83.93054278311118
0,13,13,4.498213007578908E-8,0.11072399297993542,0.011545294563306828,0,0,0,0,8.698315433156504E-4,0.004613499707497308,2141.099621861764,11428.716647624342,-91.01532644351587,-4.328751668429657,-90.92431111707039
