% Model,ghost_cell_flux.mph
% Version,COMSOL 5.3.1.275
% Date,"Oct 7 2019, 11:31"
% Table,Table 26 {tbl26} - Pressure {gev21} (sw1(t))
% Pressurization cycles index,K_ads (m^3/kg),t (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),u_ck (cm/h),c_gas (ug/m^3)
2,0,54,-15,7.622250192696968E-6,18.76225015146052,1.956357414858705,0,105.03203303615716,20586.677848518983
2,0,55,-15,7.618991593407626E-6,18.75422907455221,1.9555210496488813,0,105.03203303615716,20575.762170195292
2,0,56,-15,7.615732994118283E-6,18.746207997643896,1.9546846844390535,0,105.03203303615719,20564.846491871616
2,0,57,-15,7.612474394828939E-6,18.738186920735583,1.953848319229229,0,105.03203303615719,20553.93081354798
2,0,58,-15,7.609230441543671E-6,18.73020189512252,1.9530157131217631,0,105.03203303615719,20543.069618859714
2,0,59,-15,7.6062055695833434E-6,18.722756140527615,1.9522393373089812,0,105.03203303615719,20533.02341418328
2,0,60,-15,7.603220373098603E-6,18.715408047539057,1.9514731447634592,0,105.03203303615719,20523.12480363123
2,0,61,-15,7.600274852089445E-6,18.708157616156846,1.950717135485202,0,105.03203303615719,20513.373787203487
2,0,62,-15,7.597369006555872E-6,18.701004846380982,1.949971309474204,0,105.03203303615719,20503.770364900185
2,0,63,-15,7.594502836497885E-6,18.69394973821147,1.949235666730469,0,105.03203303615719,20494.314536721165
2,0,64,-15,7.591676341915484E-6,18.686992291648306,1.9485102072539953,0,105.03203303615713,20485.006302666512
2,0,65,-15,7.588889522808668E-6,18.680132506691486,1.9477949310447855,0,105.03203303615713,20475.845662736203
2,0,66,-15,7.586142379177436E-6,18.673370383341016,1.9470898381028359,0,105.03203303615715,20466.83261693026
2,0,67,-15,7.583434911021792E-6,18.6667059215969,1.9463949284281483,0,105.03203303615715,20457.967165248687
2,0,68,-15,7.580767118341729E-6,18.660139121459125,1.9457102020207235,0,105.03203303615715,20449.249307691407
2,0,69,-15,7.578145857690919E-6,18.653686860407685,1.9450374187112203,0,105.03203303615715,20440.69576571421
2,0,70,-15,7.575575634658174E-6,18.647360228997496,1.9443777349222051,0,105.03203303615715,20432.31752734504
2,0,71,-15,7.57304800356099E-6,18.641138438090998,1.943728982950805,0,105.03203303615715,20424.093995632047
2,0,72,-15,7.570562964399366E-6,18.63502148768818,1.943091162797025,0,105.03203303615713,20416.02517057527
2,0,73,-15,7.568120517173302E-6,18.629009377789057,1.9424642744608636,0,105.03203303615713,20408.11105217461
2,0,74,-15,7.565720661882801E-6,18.623102108393617,1.9418483179423187,0,105.03203303615715,20400.351640430177
2,0,75,-15,7.563363398527859E-6,18.617299679501862,1.9412432932413943,0,105.03203303615715,20392.746935341976
2,0,76,-15,7.561048727108477E-6,18.61160209111379,1.9406492003580862,0,105.03203303615715,20385.296936909905
2,0,77,-15,7.558776647624657E-6,18.606009343229413,1.9400660392923987,0,105.03203303615715,20378.00164513404
2,0,78,-15,7.5565471600763985E-6,18.600521435848716,1.939493810044328,0,105.03203303615715,20370.861060014333
2,0,79,-15,7.554360264463699E-6,18.595138368971703,1.9389325126138757,0,105.03203303615715,20363.87518155084
2,0,80,-15,7.552169630832906E-6,18.589746100923286,1.9383702557686515,0,105.03203303615715,20356.85968674922
2,0,81,-15,7.5499993226137054E-6,18.5844038640923,1.9378132157253813,0,105.03203303615715,20349.91031158719
2,0,82,-15,7.547861217218868E-6,18.579140894856973,1.9372644409886302,0,105.03203303615715,20343.074310165244
2,0,83,-15,7.5457553146483895E-6,18.573957193217296,1.9367239315584013,0,105.03203303615715,20336.351682483593
2,0,84,-15,7.543681614902271E-6,18.56885275917327,1.9361916874346907,0,105.03203303615713,20329.742428541973
2,0,85,-15,7.541640117980513E-6,18.563827592724895,1.935667708617501,0,105.03203303615715,20323.246548340525
2,0,86,-15,7.539630823883117E-6,18.558881693872177,1.935151995106833,0,105.03203303615715,20316.86404187921
2,0,87,-15,7.537653732610081E-6,18.554015062615107,1.9346445469026834,0,105.03203303615715,20310.59490915804
2,0,88,-15,7.535708844161405E-6,18.54922769895369,1.9341453640050563,0,105.03203303615715,20304.43915017697
2,0,89,-15,7.5337961585370905E-6,18.544519602887927,1.9336544464139473,0,105.03203303615715,20298.396764936093
2,0,90,-15,7.531915675737135E-6,18.539890774417817,1.9331717941293587,0,105.0320330361572,20292.467753435336
2,0,91,-15,7.530067395761542E-6,18.535341213543358,1.9326974071512921,0,105.0320330361572,20286.652115674675
2,0,92,-15,7.528251318610307E-6,18.530870920264547,1.9322312854797445,0,105.03203303615719,20280.94985165418
2,0,93,-15,7.526467444283434E-6,18.526479894581392,1.9317734291147162,0,105.03203303615719,20275.3609613738
2,0,94,-15,7.524715772780922E-6,18.522168136493892,1.9313238380562086,0,105.03203303615719,20269.885444833613
2,0,95,-15,7.5229963041027705E-6,18.517935646002044,1.9308825123042244,0,105.03203303615719,20264.523302033565
2,0,96,-15,7.52130903824898E-6,18.513782423105848,1.930449451858758,0,105.03203303615719,20259.274532973577
2,0,97,-15,7.519582952273684E-6,18.509533644066494,1.9300064276846518,0,105.03203303615719,20253.872552959703
2,0,98,-15,7.517879601353265E-6,18.505340827607224,1.929569238781239,0,105.03203303615719,20248.548409404306
2,0,99,-15,7.516200306972735E-6,18.501207226577492,1.9291382243261892,0,105.03203303615719,20243.30706250266
2,0,100,-15,7.514545069132098E-6,18.497132840977297,1.9287133843194944,0,105.03203303615716,20238.148512254666
2,0,101,-15,7.512913887831352E-6,18.49311767080664,1.9282947187611592,0,105.03203303615719,20233.072758660408
2,0,102,-15,7.511306763070493E-6,18.489161716065514,1.9278822276511818,0,105.03203303615716,20228.079801719905
2,0,103,-15,7.509723694849528E-6,18.48526497675394,1.9274759109895658,0,105.03203303615715,20223.16964143309
2,0,104,-15,7.508164683168453E-6,18.481427452871895,1.927075768776305,0,105.03203303615719,20218.342277800028
2,0,105,-15,7.506629728027267E-6,18.477649144419388,1.926681801011404,0,105.03203303615715,20213.59771082065
2,0,106,-15,7.505118829425974E-6,18.47393005139642,1.9262940076948631,0,105.03203303615715,20208.935940494997
2,0,107,-15,7.5036319873645695E-6,18.47027017380299,1.9259123888266783,0,105.03203303615715,20204.356966823114
