% Model,cpm.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 24 2019, 14:33"
% Table,Table 9 {tbl9} - Surface Average 1 {av1} (p)
% Time,Pressure (Pa)
131917.46905089408,15.000000000000002
132274.00275103163,15.000000000000002
132630.5364511692,15.000000000000002
132987.07015130675,15.000000000000007
133343.6038514443,15.000000000000002
133700.13755158184,15.000000000000002
134056.6712517194,15.000000000000009
134413.20495185695,15.000000000000007
134769.7386519945,15.000000000000007
135126.27235213204,15.000000000000002
135482.80605226962,15.000000000000002
135839.33975240716,15.000000000000002
136195.8734525447,15.000000000000002
136552.40715268225,15.000000000000002
136908.94085281983,15.000000000000007
137265.47455295737,15.000000000000009
137622.00825309491,15.000000000000007
137978.54195323246,15.000000000000002
138335.07565337,15.000000000000007
138691.60935350758,15.000000000000002
139048.14305364512,15.000000000000002
139404.67675378267,15.000000000000002
139761.2104539202,15.000000000000002
140117.7441540578,15.000000000000002
140474.27785419533,15.000000000000002
140830.81155433287,15.000000000000009
141187.34525447042,15.000000000000007
141543.878954608,15.000000000000009
141900.41265474554,15.000000000000002
142256.94635488308,15.000000000000002
142613.48005502063,15.000000000000002
142970.0137551582,15.000000000000002
143326.54745529575,15.000000000000002
143683.0811554333,15.000000000000002
144039.61485557084,15.000000000000002
144396.1485557084,15.000000000000002
144752.68225584595,15.000000000000007
145109.2159559835,15.000000000000007
145465.74965612104,15.000000000000002
145822.2833562586,15.000000000000002
146178.81705639616,15.000000000000002
146535.3507565337,15.000000000000002
146891.88445667125,15.000000000000002
147248.4181568088,15.000000000000002
147604.95185694637,15.000000000000002
147961.4855570839,15.000000000000002
148318.01925722146,15.000000000000007
148674.552957359,15.000000000000009
149031.08665749658,15.000000000000002
149387.62035763412,15.000000000000002
149744.15405777167,15.000000000000002
150100.6877579092,15.000000000000002
150457.22145804678,15.000000000000002
150813.75515818433,15.000000000000002
151170.28885832187,15.000000000000002
151526.82255845942,15.000000000000002
151883.356258597,15.000000000000007
152239.88995873454,15.000000000000007
152596.42365887208,15.000000000000002
152952.95735900963,15.000000000000002
153309.49105914717,15.000000000000002
153666.02475928474,15.000000000000002
154022.5584594223,15.000000000000002
154379.09215955983,15.000000000000002
154735.62585969738,15.000000000000002
155092.15955983495,15.000000000000002
155448.6932599725,15.000000000000007
155805.22696011004,15.00000000000001
156161.7606602476,15.000000000000002
156518.29436038516,15.000000000000002
156874.8280605227,15.000000000000002
157231.36176066025,15.000000000000002
157587.8954607978,15.000000000000002
157944.42916093537,15.000000000000002
158300.9628610729,15.000000000000002
158657.49656121046,15.000176666640685
159014.030261348,15.000581199708398
159370.56396148558,15.000394263447484
159727.09766162312,14.998759373525
160083.63136176066,14.99482004560778
160440.1650618982,14.987719795362738
160796.69876203575,14.976602138456833
161153.23246217333,14.960610590556925
161509.76616231087,14.93888866733004
161866.29986244842,14.910579884443047
162222.83356258596,14.874574090248549
162579.36726272354,14.829297064249937
162935.90096286108,14.77432478798628
163292.43466299862,14.709337134096454
163648.96836313617,14.634013975219231
164005.50206327374,14.548035183993449
164362.0357634113,14.45108063305792
164718.56946354883,14.342830195051425
165075.10316368638,14.22296374261286
165431.63686382395,14.091161148380923
165788.1705639615,13.947096170619577
166144.70426409904,13.790586307369331
166501.23796423658,13.621728574711293
166857.77166437416,13.440641174394868
167214.3053645117,13.247442308169552
167570.83906464925,13.042250177784826
167927.3727647868,12.825182984990152
168283.90646492434,12.59635893153501
168640.4401650619,12.355896219168846
168996.97386519946,12.103913049641129
169353.507565337,11.840540589486693
169710.04126547455,11.566119916795058
170066.57496561212,11.281120962722767
170423.10866574966,10.986009779578447
170779.6423658872,10.681252419670578
171136.17606602475,10.367314935307716
171492.70976616233,10.044663378798383
171849.24346629987,9.713763802451234
172205.77716643742,9.37508225857476
172562.31086657496,9.029084799477472
172918.84456671253,8.676241737933958
173275.37826685008,8.31712594688084
173631.91196698762,7.952381253522042
173988.44566712517,7.582647301839906
174344.97936726274,7.208563735816803
174701.5130674003,6.83077019943517
175058.04676753783,6.449906336677375
175414.58046767538,6.066611791525757
175771.11416781292,5.681526207962743
176127.6478679505,5.295289229970641
176484.18156808804,4.908541797333375
176840.71526822558,4.521955217532541
177197.24896836313,4.136182822588718
177553.7826685007,3.751864394638792
177910.31636863825,3.369639715819802
178266.8500687758,2.990148568268695
178623.38376891334,2.614030734122401
178979.9174690509,2.2419259955178594
179336.45116918845,1.8744741345921059
179692.984869326,1.512314933482047
180049.51856946354,1.156088622311013
180406.05226960112,0.8064263034544792
180762.58596973866,0.46383311823231893
181119.1196698762,0.12877557301494166
181475.65337001375,-0.1982798258272098
181832.18707015133,-0.5168665719237211
182188.72077028887,-0.8265181589040974
182545.25447042641,-1.1267680803979252
182901.78817056396,-1.4171498300347594
183258.3218707015,-1.6971969014441632
183614.85557083908,-1.9664427219033003
183971.38927097662,-2.2244422111685394
184327.92297111417,-2.4709873865587775
184684.4566712517,-2.7059584328334396
185040.99037138929,-2.929235534751908
185397.52407152683,-3.1406988770735706
185754.05777166437,-3.3402286445578535
186110.59147180192,-3.52770502196413
186467.1251719395,-3.703008194051834
186823.65887207704,-3.8660183455803248
187180.19257221458,-4.01661566130903
187536.72627235213,-4.15469678484953
187893.2599724897,-4.280490031467674
188249.79367262725,-4.394395481868351
188606.3273727648,-4.496813427349982
188962.86107290233,-4.58814415921103
189319.3947730399,-4.668787968749838
189675.92847317745,-4.7391451472648525
190032.462173315,-4.799615986054475
190388.99587345254,-4.850600776417117
190745.5295735901,-4.892499809651174
191102.06327372766,-4.925858716243147
191458.5969738652,-4.951647101114764
191815.13067400275,-4.970820689619565
192171.6643741403,-4.984332631667612
192528.19807427787,-4.993136077168957
192884.7317744154,-4.998184176033728
193241.26547455296,-5.0004300781719575
193597.7991746905,-5.000826933493748
193954.33287482808,-5.000327891909151
194310.86657496562,-4.999886103328274
194667.40027510317,-5.0000180817038835
195023.9339752407,-5.000128139370367
195380.46767537828,-5.000187380572335
195737.00137551583,-5.000205598023367
196093.53507565337,-5.000192584436971
196450.06877579092,-5.0001581325267495
196806.6024759285,-5.000112035006208
197163.13617606604,-5.0000640845889155
197519.66987620358,-5.00002407398842
197876.20357634113,-5.000001795918281
198232.73727647867,-5.000000000121494
198589.27097661624,-5.000000000192096
198945.8046767538,-5.000000000220572
199302.33837689133,-5.000000000215997
199658.87207702888,-5.00000000018743
200015.40577716645,-5.000000000143964
200371.939477304,-5.0000000000945946
200728.47317744154,-5.0000000000484786
201085.0068775791,-5.000000000014628
201441.54057771666,-5.000000000002138
201798.0742778542,-5.000000000013443
202154.60797799175,-5.000000000022489
202511.1416781293,-5.000000000026341
202867.67537826687,-5.000000000026136
203224.2090784044,-5.0000000000229345
203580.74277854196,-5.000000000017835
203937.2764786795,-5.000000000011946
204293.81017881708,-5.00000000000631
204650.34387895462,-5.00000000000205
205006.87757909216,-5.00000000000025
205363.4112792297,-5.0000000000014735
205719.94497936725,-5.000000000002623
206076.47867950483,-5.000000000003142
206433.01237964237,-5.000000000003159
206789.54607977992,-5.000000000002802
207146.07977991746,-5.000000000002209
207502.61348005504,-5.000000000001504
207859.14718019258,-5.000000000000812
208215.68088033012,-5.000000000000279
208572.21458046767,-5.000000000000028
208928.74828060524,-5.000000000000148
209285.2819807428,-5.000000000000291
209641.81568088033,-5.000000000000361
209998.34938101788,-5.0000000000003695
210354.88308115545,-5.000000000000329
210711.416781293,-5.000000000000261
211067.95048143054,-5.000000000000179
211424.48418156808,-5.000000000000098
211781.01788170566,-5.000000000000031
212137.5515818432,-4.999999999999997
212494.08528198075,-5.00000000000001
212850.6189821183,-5.000000000000027
213207.15268225584,-5.000000000000033
213563.6863823934,-5.000000000000035
213920.22008253096,-5.000000000000031
214276.7537826685,-5.000000000000025
214633.28748280604,-5.000000000000016
214989.82118294362,-5.000000000000006
215346.35488308116,-4.999999999999997
215702.8885832187,-4.999999999999993
