% Model,main.mph
% Version,COMSOL 5.3.1.275
% Date,"Aug 19 2019, 10:39"
% Table,shuai_isotherm_good_mesh {tbl8} - 
% Time (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg)
7.036617860614506,-15,3.246647096034286E-4,1.5983312913992633,0.0022321205184690773,0.07660239664135296,4.563721523475883E-10
7.507070619127516,-15,3.2601656894680383E-4,1.6049865237857042,0.0022413625355086563,0.07660283278122755,4.5637475072703904E-10
8.447976136153535,-15,3.2845498863579405E-4,1.6169909159330296,0.0022581448720632434,0.07660370001066068,4.5637991739780036E-10
9.388881653179554,-15,3.307012344145921E-4,1.628049231820863,0.0022735106307565974,0.07660456260259733,4.5638505643986756E-10
10.329787170205574,-15,3.3278264982736493E-4,1.638296084300454,0.0022878154790437464,0.07660542091057915,4.5639016995952476E-10
12.211598204257614,-15,3.366428996298274E-4,1.6573001764280832,0.002314406717802812,0.07660712832982355,4.564003422077791E-10
14.093409238309652,-15,3.4010597023617954E-4,1.6743489469002995,0.002338138759063642,0.0766088220948254,4.56410433108499E-10
17.857031306413727,-15,3.4617414566804944E-4,1.7042227040028344,0.002379879675774685,0.07661217153807341,4.564303880014435E-10
19.03588287872342,-15,3.4785582760229957E-4,1.712501660040206,0.002391437351331818,0.07661321057177727,4.564365782261451E-10
19.883386104921087,-15,3.490165340883331E-4,1.7182158428321195,0.0023994145632455937,0.07661395486487048,4.564410124821962E-10
20.359312378354904,-14.998662843693406,3.49650488210246E-4,1.7213368124983413,0.0024037689250798557,0.07661437184513879,4.564434967149477E-10
20.69808836027705,-14.961292113166131,3.500325795349545E-4,1.7232178562409757,0.0024063187671078366,0.07661466735903324,4.5644525729056813E-10
21.036864342199195,-14.826346108474569,3.502076390395941E-4,1.7240796779168335,0.002407199293369469,0.07661495909457523,4.5644699535599503E-10
21.3327648187811,-14.590253160190253,3.500549837168882E-4,1.7233281525065802,0.0024057231074715957,0.07661520786080463,4.564484774242404E-10
21.62866529536301,-14.218806245213326,3.495088777176916E-4,1.7206396610225412,0.0024012444649373966,0.07661544692925747,4.5644990171628834E-10
21.924565771944916,-13.69578301657565,3.484817601428239E-4,1.7155831392901286,0.002393120887004923,0.07661567239971664,4.5645124499591453E-10
22.220466248526822,-13.011807840186517,3.469121067822994E-4,1.7078557023110965,0.0023809326181231656,0.07661587990065304,4.564524812189707E-10
22.516366725108732,-12.163750862032755,3.4476189532054157E-4,1.697270165414737,0.002364458314921621,0.07661606492575096,4.56453583538296E-10
23.108167678272544,-9.990495387967076,3.38652940196526E-4,1.667195649017822,0.002318425509340079,0.07661634443805677,4.5645524878165977E-10
23.468444042195298,-8.383481027914884,3.338218338842646E-4,1.6434120095813218,0.0022822542235057157,0.07661644987689452,4.564558769519453E-10
23.828720406118048,-6.595400162956382,3.2824783416647314E-4,1.6159710900613686,0.0022407984917805616,0.07661649736948153,4.564561598973246E-10
24.15296913364853,-4.861001263824656,3.2268679077749246E-4,1.5885939548245462,0.002199664936305288,0.07661648535432623,4.5645608831493957E-10
24.430416717864592,-3.3062051903889884,3.175929640725634E-4,1.5635169372903701,0.0021621237492646748,0.07661643162014126,4.564557681841504E-10
24.680119543659053,-1.8687576108054262,3.1280473415999237E-4,1.5399443792842213,0.00212695788218467,0.07661634774705568,4.5645526849559893E-10
24.885333569294097,-0.6716180461165422,3.087619898434293E-4,1.5200418627705479,0.0020973599326967324,0.07661625316707993,4.564547050188803E-10
24.992151923905528,-0.04598473891268462,3.0662820231321174E-4,1.5095371812395302,0.0020817815157591086,0.07661619470377239,4.564543567135179E-10
25.05714359059729,0.33479409160524654,3.053203016724078E-4,1.5030983584836122,0.0020722400468564666,0.07661615484673387,4.56454119258252E-10
25.12213525728905,0.7153274454028686,3.040104921219403E-4,1.4966501381246984,0.0020626279019392833,0.0766161126405158,4.5645386780733945E-10
25.187126923980813,1.095336397485955,3.0269798075791736E-4,1.490188616680013,0.002053046918653779,0.0766160680896182,4.564536023875882E-10
25.252118590672573,1.474542600117406,3.013835305149637E-4,1.48371755009299,0.002043461851075153,0.07661602120034104,4.5645332303653357E-10
25.382101924056094,2.2294380954134176,2.9874909671770373E-4,1.4707481763091144,0.0020244346385782297,0.07661592196877616,4.5645273184715947E-10
25.512085257439615,2.977810367190223,2.961201898473817E-4,1.457806011704459,0.0020053228221408844,0.07661581423918959,4.564520900293392E-10
25.64206859082314,3.717484746665967,2.9350003235757607E-4,1.4449069204867349,0.001986353824058195,0.07661569749897815,4.564513945291474E-10
25.77205192420666,4.446325289979658,2.9089352673745614E-4,1.432075037714707,0.001967542272802604,0.0766155717150899,4.564506451496718E-10
25.90203525759018,5.162244607793351,2.883070954946139E-4,1.4193419815302608,0.0019488985016247178,0.07661543704082224,4.5644984280420904E-10
26.032018590973703,5.863213694894096,2.857478865465938E-4,1.4067429412839525,0.0019304705514688225,0.07661529368196665,4.564489887187969E-10
26.162001924357227,6.547271759796093,2.8322152387610396E-4,1.3943056039626303,0.0019123081477812652,0.07661514186149075,4.5644808422180457E-10
26.421968591124266,7.8572117033084155,2.7829624075664095E-4,1.3700583300952178,0.001876936771889342,0.07661481422673,4.5644613228051434E-10
26.681935257891304,9.078115905864479,2.7356206178311414E-4,1.3467518660150442,0.0018431036680483662,0.07661445607501235,4.564439985291252E-10
26.941901924658346,10.197756349164518,2.690477454032148E-4,1.3245277901735928,0.0018110228232346781,0.07661406980377905,4.5644169725081173E-10
27.201868591425384,11.205940076340848,2.6478169756244055E-4,1.3035259456465282,0.0017808424400525915,0.07661365812972164,4.5643924463073936E-10
27.461835258192426,12.09482373922419,2.607871484369005E-4,1.2838606950864015,0.0017527156122089929,0.07661322400176257,4.564366582376256E-10
27.721801924959465,12.859228145609556,2.5708068455986943E-4,1.265613694350362,0.0017267458812118075,0.07661277052646658,4.564339565793763E-10
27.981768591726503,13.496952806522739,2.536725976319223E-4,1.2488356096998916,0.001702992197050561,0.07661230089172967,4.564311586484356E-10
28.501701925260583,14.400341735784892,2.4778902015200143E-4,1.219870632252801,0.00166208423461297,0.07661132993865827,4.564253740259889E-10
29.021635258794664,14.858913475940916,2.4302223741071564E-4,1.1964036591284188,0.0016298204138603114,0.07661033164094447,4.564194264930618E-10
29.345812201867187,14.970442171793145,2.4058013186921667E-4,1.184381121450563,0.0016130607069228696,0.07660970121671756,4.564156706306614E-10
29.669989144939706,14.999269900595383,2.3843920935196972E-4,1.1738413142261903,0.0015986931385861475,0.0766090699522395,4.5641190976231814E-10
29.961748393704976,15,2.3669788103418873E-4,1.1652687177702692,0.0015869683776649382,0.07660850276766863,4.5640853066120976E-10
30.224331717593717,15,2.35226961423885E-4,1.1580273491498454,0.001577117431894715,0.07660799331623666,4.5640549551535696E-10
30.486915041482458,15,2.3382155788361072E-4,1.1511085175398208,0.0015677200756601965,0.07660748487012188,4.564024663588569E-10
31.01208168925994,15,2.3116776299252016E-4,1.1380438286779897,0.0015499207582564552,0.0766064708790622,4.5639642533008145E-10
31.537248337037422,15,2.2869987092136642E-4,1.1258943433645434,0.0015333812305145917,0.07660546059769296,4.5639040640243464E-10
32.58758163259239,15,2.2418702186318697E-4,1.1036774911792213,0.0015031423055134904,0.07660345010810488,4.5637842855969344E-10
33.63791492814736,15,2.201552451936922E-4,1.0838289686260358,0.0014761065738858664,0.07660145214096213,4.563665253216052E-10
34.688248223702324,15,2.1650333746392415E-4,1.0658505489668102,0.001451618208576909,0.07659946554966349,4.563546898570965E-10
35.738581519257295,15,2.1315775505828088E-4,1.049380175413041,0.001429187853068413,0.07659748936021202,4.563429163634067E-10
36.78891481481226,15,2.100658968519945E-4,1.0341588915053646,0.0014084577442352677,0.07659552275382672,4.563311999625091E-10
38.88958140592219,15,2.0445967637609968E-4,1.006559348505908,0.001370883185920636,0.07659161492668298,4.563079184000148E-10
40.99024799703213,15,1.99517536414948E-4,0.9822290880472576,0.0013377023771833307,0.07658773833055356,4.5628482290174045E-10
43.09091458814206,15,1.950938550794783E-4,0.9604512104630366,0.0013080228425941635,0.07658388966244493,4.562618937895268E-10
44.21163771234264,14.999999644344854,1.929140442037075E-4,0.9497199550200518,0.0012934570264137306,0.07658184709291685,4.5624972482494296E-10
44.77199927444293,14.961384909957198,1.9191059031650062E-4,0.9447799301268069,0.0012867701373171668,0.07658082992782937,4.5624366488634286E-10
45.1131235523028,14.851512017740646,1.9140763382532612E-4,0.9423038645912628,0.0012833698466952965,0.07658021434965889,4.5623999747191474E-10
45.45424783016267,14.636811208687597,1.9105336122037558E-4,0.940559772999449,0.0012812625333616663,0.07657960516986231,4.5623636817691733E-10
45.76125968023655,14.335927583202148,1.9090059725255018E-4,0.9398077127269547,0.001280688637735352,0.0765790656618758,4.56233153963893E-10
46.06827153031043,13.922694558779163,1.9094176344786168E-4,0.9400103747846652,0.0012814487328018116,0.0765785377663887,4.5623000893436046E-10
46.37528338038431,13.39235356707197,1.9120488274166497E-4,0.9413057166811415,0.0012837721769326754,0.07657802486380227,4.562269532276518E-10
46.682295230458195,12.744745963415742,1.9170365105655802E-4,0.9437611637355067,0.001287849068223636,0.07657753039965245,4.5622400737114875E-10
47.296318930605956,11.1172057242407,1.9346346362925773E-4,0.9524247585727145,0.0013014581305675764,0.07657661438653282,4.562185500630572E-10
47.69643999658869,9.847202563004455,1.9515026172842913E-4,0.9607289015991358,0.0013142390383928037,0.07657607439813378,4.562153329878924E-10
48.09656106257142,8.446598508520843,1.9725322082875255E-4,0.9710818141121262,0.0013299828492304405,0.07657558642051962,4.562124257760574E-10
48.45667002195588,7.104323268164622,1.9948234676320383E-4,0.9820558486410257,0.0013465267521357931,0.07657519550235682,4.562100968128492E-10
48.780768085401895,5.855184450471773,2.0173277595563721E-4,0.9931347595634301,0.0013631586295348196,0.07657488444855183,4.56208243655498E-10
49.07245634250331,4.717010403916888,2.0393093555407077E-4,1.003956346159514,0.0013793392111697393,0.07657463817047255,4.5620677641084166E-10
49.334975773894584,3.6957430868190073,2.0602779485783603E-4,1.0142792292439227,0.0013947201406396296,0.07657444385555474,4.562056187457932E-10
49.48619616708657,3.1137465898592662,2.0728923428487282E-4,1.0204893224533154,0.0014039109153378508,0.07657434704534345,4.56205041982057E-10
49.63741656027855,2.5392089655008796,2.085902778173287E-4,1.026894387518554,0.0014135073222398269,0.0765742614685961,4.5620453214364363E-10
49.71803667512417,2.236731658125427,2.0928038279839924E-4,1.0302917890622663,0.0014184710542201376,0.07657421707456619,4.562042676584579E-10
49.798656789969776,1.9373480603550721,2.0997343032204744E-4,1.0337036768058612,0.0014236074691680832,0.07657417499299594,4.562040169501572E-10
49.87927690481539,1.6413868465520025,2.10672204549888E-4,1.0371437572363618,0.0014286940285199532,0.07657413519379376,4.5620377983946215E-10
49.959897019661,1.349170732534331,2.113756671073562E-4,1.0406069184136348,0.0014338039611350233,0.07657409764466339,4.562035561339607E-10
50.121137249352216,0.7772312655080622,2.1279075366947744E-4,1.0475734197467783,0.001444026446172851,0.07657402768610663,4.562031393436444E-10
50.28237747904343,0.22396935858102474,2.1421014245090095E-4,1.0545611009973257,0.0014543008270069594,0.07657396562954599,4.562027696308508E-10
50.42529272643327,-0.2489420684150474,2.1546753024126607E-4,1.0607512479129506,0.0014634459845114679,0.07657391751357667,4.5620248297156133E-10
50.49288456932973,-0.46642685779671567,2.1606099013965027E-4,1.0636728636528834,0.001467743760947902,0.07657389697579713,4.562023606141549E-10
50.560476412226194,-0.6797341003412551,2.16652843252127E-4,1.0665865691515164,0.0014720221711711568,0.0765738778153386,4.5620224646237784E-10
50.62806825512265,-0.888717961950551,2.1724250310451376E-4,1.069489477183938,0.0014762877031886702,0.07657386000093046,4.562021403299314E-10
50.76325194091557,-1.2931612165751396,2.184130277890319E-4,1.0752519951764414,0.0014847441105301123,0.07657382824577674,4.5620195114305875E-10
50.89843562670849,-1.678709479536984,2.1956969576861595E-4,1.0809462963149512,0.0014930813788016461,0.07657380148404928,4.5620179170539527E-10
51.033619312501415,-2.044419604988974,2.2070896066516126E-4,1.086554921704404,0.001501282997507596,0.0765737794611222,4.562016604999622E-10
51.16880299829433,-2.38946041647991,2.218272070576957E-4,1.092060072550227,0.0015093223719341512,0.07657376190627686,4.562015559139052E-10
51.303986684087256,-2.713120680064524,2.2292101638830928E-4,1.0974449192189013,0.0015171725998050392,0.07657374853784905,4.5620147626916347E-10
51.5743540556731,-3.2941021789212463,2.2501961644023666E-4,1.107776372043647,0.0015321946509970746,0.07657373280534506,4.5620138254002375E-10
51.84472142725893,-3.7843760582845647,2.2698569422787646E-4,1.1174554149342284,0.0015461848569177945,0.0765737301375229,4.562013666460072E-10
52.11508879884477,-4.18338363399867,2.2879946817820192E-4,1.1263846627846372,0.0015590425423563643,0.07657373822006186,4.5620141479914435E-10
52.498441536329835,-4.597434848821436,2.3107832026299455E-4,1.1376035002124671,0.0015751347685201502,0.07657376296105331,4.562015621979203E-10
52.881794273814904,-4.849147234598625,2.3300940146301637E-4,1.1471102541556286,0.0015884906043675193,0.07657379729236913,4.5620176673272846E-10
53.12681114675341,-4.938085902358811,2.3406404705931212E-4,1.1523022969247825,0.0015959127957522823,0.07657382320101379,4.562019210880036E-10
53.371828019691925,-4.983421183921134,2.3499518842175614E-4,1.1568863257159878,0.0016022728797552518,0.07657385039119215,4.562020830782375E-10
53.61684489263044,-4.998650536669853,2.358191659364874E-4,1.1609427845987936,0.0016079022466652854,0.07657387789978536,4.5620224696548325E-10
53.837360078275104,-5,2.3648728064945123E-4,1.1642319275835014,0.0016124967362251856,0.07657390253149517,4.562023937131958E-10
54.05787526391977,-5,2.371107100133238E-4,1.1673010836413673,0.001616713077556339,0.07657392688774917,4.5620253881983105E-10
54.278390449564434,-5,2.3768911335496088E-4,1.170148575631235,0.001620648829950772,0.07657395083216877,4.562026814728922E-10
54.719420820853756,-5,2.3876564402906073E-4,1.1754483591052893,0.0016280183678889337,0.07657399758885575,4.5620296003401795E-10
55.160451192143086,-5,2.3977985317378284E-4,1.1804413323607217,0.001634865839221676,0.07657404329306651,4.562032323248337E-10
56.04251193472174,-5,2.4158196427895363E-4,1.1893131637756325,0.0016472101578119023,0.0765741309660158,4.562037546517356E-10
56.92457267730039,-5,2.4322254165547763E-4,1.1973897611984414,0.0016582931171592057,0.07657421524028749,4.5620425673042376E-10
57.80663341987905,-5,2.447101924821774E-4,1.2047134979541074,0.0016684458492978017,0.07657429643613076,4.5620474046883616E-10
59.57075490503636,-5,2.4739795046649235E-4,1.2179453878484112,0.001686881441235988,0.07657445240522553,4.5620566968194866E-10
61.33487639019367,-5,2.4971289979026814E-4,1.2293419327538122,0.001702579755552479,0.07657459900997955,4.5620654310536843E-10
64.86311936050828,-5,2.535052141330757E-4,1.2480115771643037,0.0017285045937622194,0.07657486795723627,4.5620814540560613E-10
68.39136233082289,-5,2.5644330854886606E-4,1.2624758786511494,0.0017485904665860447,0.07657510954846018,4.56209584727504E-10
71.91960530113751,-5,2.5879729242302434E-4,1.2740645914808013,0.001764648259234644,0.07657532909009536,4.562108926851252E-10
75.44784827145213,-5,2.6073724683507493E-4,1.2836150284360712,0.0017778682907343417,0.07657553062670268,4.5621209337465027E-10
