% Model,main.mph
% Version,COMSOL 5.3.1.275
% Date,"Aug 24 2019, 07:38"
% Table,no_soil_adsorption {tbl10} - 
% Time (h),p_in (Pa),alpha (1),c_in (ug/m^3),j_ck (ug/(m^2*s)),m_ads (g),c_ads (mol/kg),c_ads/c (1),alpha_ck (1),n_ck (ug/s),c_soil (ug/m^3),u_ck (cm/h),Pe (1)
19.42858225136256,-15,8.384953023390817E-4,22.033979554866384,0.03075519223027218,0,0,0,0.03052769313849023,0.012289774815216486,802.2067202932456,4.3705419549516575,0.0267061297086261
19.453489448420584,-15,8.385186491389616E-4,22.03459306207363,0.030756152560981315,0,0,0,0.03052793723990222,0.012290158563367855,802.2131347901498,4.370541954961215,0.026706709333465313
19.503303842536628,-15,8.385568384691772E-4,22.035596601293033,0.03075756402627224,0,0,0,0.030528409945339147,0.012290722584898108,802.2255565436236,4.370541954976378,0.02670636047169551
19.602932630768716,-15,8.386132027279178E-4,22.037077741284218,0.030759599836254044,0,0,0,0.03052932041815291,0.01229153609456684,802.2494819482217,4.370541954991615,0.026704949907643962
19.802190207232893,-15,8.38726497162671E-4,22.04005489244066,0.030763694929250303,0,0,0,0.03053106561210362,0.012293172493728141,802.2953421548591,4.370541955002935,0.026702793423739712
20.200705360161244,-14.999999999881014,8.389439263087796E-4,22.045768495542106,0.03077163339623232,0,0,0,0.030534265474844984,0.01229634470513416,802.3794281479759,4.370541954971972,0.02669855481946422
20.458699494231148,-14.994363989114836,8.387742657173205E-4,22.041310154519742,0.030765298124682663,0,0,0,0.030535802756453522,0.012293813130622914,802.4198248340864,4.368805718910175,0.026681981268687215
20.64432395163248,-14.972282295689093,8.376815290793435E-4,22.012595221146988,0.030724774734021354,0,0,0,0.030535622837173624,0.012277619983714657,802.415096915248,4.361969536852552,0.02662573878959078
20.829948409033815,-14.92335832765429,8.35078747684891E-4,21.94419933166356,0.030626599754990592,0,0,0,0.030533059049109423,0.012238389262093963,802.3477256924964,4.347019555629897,0.02650610054190751
20.997010420695016,-14.848996813803485,8.310515886243577E-4,21.838373645870867,0.030478840554958583,0,0,0,0.030527997563276968,0.012179344685761173,802.2147199677913,4.324476940045663,0.02632546654466097
21.147366231190098,-14.75268185653416,8.257796070610191E-4,21.699836514349457,0.03028343781381547,0,0,0,0.030520435145881306,0.01210126175040039,802.0159947634694,4.29548010984719,0.02609591114007843
21.282686460635674,-14.639173054138583,8.195214257381392E-4,21.53538402554682,0.03005160425473086,0,0,0,0.030510684686784237,0.01200862106019018,801.7597721993163,4.261465587656609,0.025828125937107996
21.40447466713669,-14.51339813374602,8.125619387568284E-4,21.352502626651933,0.029793942889927174,0,0,0,0.030499144058227297,0.01190565957881463,801.4565075620973,4.223893430605601,0.02553400475807079
21.52626287363771,-14.363830384478845,8.043999064692622E-4,21.138020742199267,0.029491936828069623,0,0,0,0.03048441303151154,0.011784977956496355,801.0694056420607,4.18058928011753,0.025196907262609747
21.648051080138725,-14.189317177889421,7.947419909417993E-4,20.8842300379686,0.029134847818830436,0,0,0,0.030466272504740422,0.011642285188404378,800.5927088795689,4.129191141991546,0.02479959698535668
21.769839286639744,-13.988908334455541,7.834751236169203E-4,20.58815929840543,0.028717497999119025,0,0,0,0.03044525183277236,0.011475512200447702,800.0403276615918,4.066807701501692,0.024322078496006563
22.013415699641772,-13.507572676792657,7.569696467920376E-4,19.89164837840116,0.02773701701779006,0,0,0,0.03038998726178737,0.011083712000308657,798.588085265248,3.923889411547269,0.023242418017994124
22.2326344713436,-12.980169347536767,7.282274650079113E-4,19.13636132547789,0.026674524440482676,0,0,0,0.030323346662258555,0.010659139966416637,796.8369035908303,3.767763998547197,0.022086236860347993
22.45185324304543,-12.362589517325834,6.95026367598022E-4,18.26390288774082,0.0254486787212897,0,0,0,0.030237437692760084,0.010169292017027135,794.579387690348,3.5853575733439835,0.020764834427651514
22.89029078644909,-10.861832384872908,6.168741240786675E-4,16.21021823253922,0.02256399763320167,0,0,0,0.02999038050142916,0.009016573454227182,788.0872188165542,3.1432626478770476,0.017691631811996164
23.273797335231258,-9.276231310350234,5.38812442758037E-4,14.158913370795693,0.01968804229679595,0,0,0,0.029673578341295873,0.007867341701799483,779.7622916525731,2.6773709952429168,0.0146350619482993
23.594332565576035,-7.777551451339951,4.697593344718766E-4,12.344335791251972,0.01714774733116165,0,0,0,0.029316627949047717,0.006852239833532041,770.3823492450757,2.2377245354750523,0.011910615928396607
23.8772619098456,-6.342536118126802,4.082510669118353E-4,10.728021536309205,0.014887201355859848,0,0,0,0.028915415302056352,0.005948925661801461,759.8392833074374,1.8173525162518147,0.009438944248288823
24.131898319688208,-4.976706873231695,3.5401852846020544E-4,9.302898890877277,0.012898895377342616,0,0,0,0.02847309454400258,0.005154398592785993,748.215978427299,1.4181487399211636,0.007200963677918748
24.361071088546556,-3.6997374764788216,3.0725736591861617E-4,8.074109061609395,0.01118557964233634,0,0,0,0.02800092279825934,0.004469757625077501,735.808249292659,1.0449487162714175,0.005200006277850673
24.590243857404904,-2.3892762245325354,2.6335235124684125E-4,6.920373086064494,0.009576552081587716,0,0,0,0.027451269571813788,0.0038267902118023643,721.3644618081225,0.6620791540302354,0.0032316913306210835
24.796499349377413,-1.1909585835975598,2.2670811984214844E-4,5.957435973211975,0.008238995745104229,0,0,0,0.02688816619906769,0.0032923026997435756,706.5672313791001,0.31264257827367986,0.0015024445758455907
24.982129292152678,-0.10471021118141444,1.9648706384047714E-4,5.163287063600057,0.0071355654446066934,0,0,0,0.0263243598405079,0.0028513719516647705,691.7515278888679,-0.004073521241409963,-1.316093395151869E-5
25.06628929721793,0.38836446726263496,1.836481287339046E-4,4.825905526869544,0.006667662366213463,0,0,0,0.02605086866038612,0.0026643978815388395,684.5647266576259,-0.14768290224215846,-6.854984855186756E-4
25.150449302283185,0.8809616888659075,1.71411489783388E-4,4.50435112852787,0.006221356983424261,0,0,0,0.025766326622608915,0.002486054250576278,677.0875309889165,-0.291183928975169,-0.0013486522385645528
25.234609307348435,1.3724761390127753,1.5976187395738386E-4,4.198222523852132,0.005796635242358838,0,0,0,0.02547091825141509,0.00231633544284654,669.3247898106861,-0.4343310335064611,-0.002001938510943019
25.31876931241369,1.8623045025387306,1.4869533900210876E-4,3.9074161182974136,0.005393371191937891,0,0,0,0.025164897286504118,0.0021551911282983328,661.2831708947547,-0.576947730354146,-0.0026450231513395813
25.487089322544193,2.834506417175909,1.2830682156313744E-4,3.371646657036125,0.004650932215478097,0,0,0,0.024522768234371668,0.0018585125133050056,644.409303662819,-0.8599086964485253,-0.003899547475095456
25.655409332674697,3.792823402538769,1.1019434213929268E-4,2.8956869227363327,0.003991700599656189,0,0,0,0.0238430812747422,0.001595083559622577,626.5484897376765,-1.1386476463445354,-0.005110444386084464
25.8237293428052,4.732615002016836,9.425020040284731E-5,2.476706766186021,0.0034119051482771326,0,0,0,0.023130128949168473,0.0013633972972515115,607.8135285262483,-1.4118169334361836,-0.006276219302713143
25.9920493529357,5.649380123833545,8.033684456383114E-5,2.1110916014483543,0.0029064554909778795,0,0,0,0.02238916002559763,0.0011614196141947343,588.3423471526544,-1.678113434988384,-0.007395866454738941
26.160369363066206,6.538792832252014,6.8302453591105E-5,1.7948518754670568,0.0024696374662288223,0,0,0,0.021626158365504532,9.86867131505015E-4,568.2921895287272,-1.9362853206535258,-0.008468845544935981
26.32868937319671,7.396738138780719,5.797619252967049E-5,1.523498387294681,0.0020951554986994325,0,0,0,0.020847628600671016,8.372241372802743E-4,547.8339843684329,-2.1851423033633237,-0.009494791904787463
26.497009383327214,8.219347793379235,4.918174166021615E-5,1.2923978073471596,0.00177648394417419,0,0,0,0.0200603698616136,7.098829840919903E-4,527.1463992234817,-2.4235665510836926,-0.010473789058405925
26.665329393457714,9.003036075663939,4.174208744867577E-5,1.0968985739763017,0.001507110714791675,0,0,0,0.01927124667855757,6.022414416307397E-4,506.4098202191356,-2.6505235208909195,-0.011406073422691886
26.816817402575168,9.67237009654496,3.605278879616434E-5,0.9473951839856063,0.001301184286811893,0,0,0,0.018564559905996533,5.199532410100207E-4,487.83950520977675,-2.844198966388742,-0.01220537530778375
26.953156610780876,10.24377685536512,3.166456406267454E-5,0.8320814144389614,0.0011424060682638656,0,0,0,0.017935475034490635,4.5650546487823043E-4,471.3084129563446,-3.0094052761248937,-0.012893708828482852
27.089495818986588,10.784381159249413,2.7879810229176152E-5,0.7326256532022909,0.0010055223459072395,0,0,0,0.01731652400450498,4.018067294245239E-4,455.0436177903815,-3.165572757110285,-0.013551907658722464
27.225835027192296,11.292978041258927,2.462804008350919E-5,0.6471756373144545,8.879983776647295E-4,0,0,0,0.016711118076247877,3.548441517148179E-4,439.13476080764167,-3.312402434471479,-0.014180296019732114
27.362174235398008,11.768553793578796,2.1823257045596648E-5,0.5734715486441887,7.867792944699162E-4,0,0,0,0.016121467493960623,3.1439700607017144E-4,423.639922806297,-3.4495339190368974,-0.014777261136047364
27.484879522783146,12.167665054463672,1.9656972765686402E-5,0.5165459303367073,7.0832563452388E-4,0,0,0,0.015605660194533346,2.830469235557361E-4,410.08553859194683,-3.5644489021026877,-0.01528922229075807
27.607584810168284,12.538929194794502,1.7762565019112136E-5,0.46676468357222867,6.400561906590494E-4,0,0,0,0.015106170353362171,2.557664537873503E-4,396.95994454565135,-3.6712784763457846,-0.015773155716351666
27.71801956881491,12.84901315263043,1.6275804994372945E-5,0.42769560364213216,5.862621551248792E-4,0,0,0,0.014670970920209707,2.3427035718789647E-4,385.5237738412709,-3.7603924004957294,-0.01618961389529291
27.828454327461532,13.136197855366376,1.496258504799133E-5,0.3931868098911161,5.388728331326046E-4,0,0,0,0.014250318676072005,2.1533358411978393E-4,374.4698741698199,-3.8428284836301794,-0.016582269525223462
27.93888908610816,13.4004857813018,1.3801332154013897E-5,0.3626714063431771,4.971019021069856E-4,0,0,0,0.013845168865985207,1.986419200819469E-4,363.823347460359,-3.918595153227017,-0.016951352303707416
28.049323844754785,13.641990856126,1.2780152904558713E-5,0.3358368580259938,4.6031175900891256E-4,0,0,0,0.013455613557831161,1.839405788999573E-4,353.5866130726872,-3.9877231849804695,-0.017298098611682383
28.159758603401407,13.860942804293185,1.1888597277550352E-5,0.3124085592594681,4.281019931128659E-4,0,0,0,0.01308204390551094,1.7106955644789735E-4,343.7699497490161,-4.050285605898307,-0.017621408988528823
28.270193362048033,14.057691500397734,1.1100740308390428E-5,0.29170525382388357,3.9974698967395366E-4,0,0,0,0.012724560274397244,1.5973889707370827E-4,334.37599489061074,-4.1063963527610445,-0.01791786836700556
28.380628120694656,14.232711320549019,1.040836589663251E-5,0.27351103903170904,3.748246730259514E-4,0,0,0,0.012383227395252744,1.4977993934116676E-4,325.4064494924516,-4.156201899969141,-0.018190358937973345
28.491062879341282,14.386605493746444,9.801943959128042E-6,0.25757548335796665,3.529609201503306E-4,0,0,0,0.012057971917254879,1.4104318369206892E-4,316.85938604162345,-4.199882222195609,-0.018436641201404664
