% Model,cpm.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 24 2019, 13:12"
% Table,Probe Table 1 {tbl1} - 
% Time (h),c_in (mol/m^3),c_ads (mol/kg),m_ads (g),"alpha (1), Attenuation from source {avh1}",j_sides (mol/(m^2*s)),j_bottom (mol/(m^2*s)),j_ck (mol/(m^2*s)),j_d_sides (mol/(m^2*s)),j_d_bottom (mol/(m^2*s)),j_d_ck (mol/(m^2*s)),j_c_sides (mol/(m^2*s)),j_c_bottom (mol/(m^2*s)),j_c_ck (mol/(m^2*s))
1.66,7.174157667832594E-7,2.2125619667438505E-6,12.820245591341873,1.7530045940186003E-6,-6.270556947214665E-11,-9.391151062449142E-12,3.967321204344811E-9,-1.7655456994388382E-11,-1.5539465035693254E-12,3.962862818874175E-9,-4.505011247775826E-11,-7.8372045588798E-12,4.458385470633301E-12
1.76,7.241183064083231E-7,2.2125621405553157E-6,12.820246598457473,1.7693822418183018E-6,-6.430521631924564E-11,-9.598098286850005E-12,4.004621717913431E-9,-1.814787303008028E-11,-1.5540321599627762E-12,4.000005390981541E-9,-4.61573432891653E-11,-8.044066126887259E-12,4.6163269318826534E-12
1.86,7.322630350193943E-7,2.2125623664574336E-6,12.820247907401887,1.7892838767325447E-6,-6.620262097089083E-11,-9.839045061968662E-12,4.049829419826654E-9,-1.873891645287026E-11,-1.5541286232301639E-12,4.045023998338103E-9,-4.746370451802053E-11,-8.284916438738484E-12,4.805421488557389E-12
1.96,7.419411381335776E-7,2.212562651254624E-6,12.820249557601965,1.8129323104666151E-6,-6.841269683781766E-11,-1.0113894983708517E-11,4.103652596217773E-9,-1.944033840180001E-11,-1.5542353888651516E-12,4.0986248782362415E-9,-4.8972358436017704E-11,-8.559659594843367E-12,5.0277179815218655E-12
2.06,7.532424202423722E-7,2.21256300145801E-6,12.820251586785092,1.8405469801913214E-6,-7.093602921447936E-11,-1.0422183003621724E-11,4.166384124522073E-9,-2.0251552183304783E-11,-1.554351980330678E-12,4.161098745083134E-9,-5.0684477031174524E-11,-8.867831023291069E-12,5.285379438933656E-12
2.16,7.662378722310916E-7,2.2125634231691328E-6,12.82025403030543,1.8723013520525902E-6,-7.378089230437032E-11,-1.0763031809163745E-11,4.23859865603835E-9,-2.1182118339792515E-11,-1.5544779155962441E-12,4.233018159623346E-9,-5.259877396457787E-11,-9.208553893567519E-12,5.5804964149967714E-12
2.26,7.809915185372132E-7,2.212563922003398E-6,12.820256920700315,1.9083518696891333E-6,-7.694426246308996E-11,-1.1135133262659823E-11,4.320535682616621E-9,-2.2232751143799897E-11,-1.5546126452835103E-12,4.3146205519662976E-9,-5.471151131928989E-11,-9.580520617376313E-12,5.915130650322816E-12
2.36,7.97555980714423E-7,2.2125645029910057E-6,12.82026028711623,1.9488271138063587E-6,-8.042591851046915E-11,-1.1536804403583628E-11,4.412568899445656E-9,-2.340918813204949E-11,-1.5547555637079747E-12,4.406277603743881E-9,-5.701673037841972E-11,-9.982048839875677E-12,6.291295701769847E-12
2.46,8.159695522730452E-7,2.212565170525271E-6,12.820264155009353,1.993820654552318E-6,-8.421788438913722E-11,-1.1966034779486479E-11,4.5148180858303135E-9,-2.471133976198763E-11,-1.554905989129698E-12,4.508107171073639E-9,-5.950654462714953E-11,-1.0411128790356819E-11,6.710914756682532E-12
2.56,8.362556086579912E-7,2.212565928286259E-6,12.820268545703088,2.043389609799537E-6,-8.831552396166195E-11,-1.2420514044409726E-11,4.627548645223151E-9,-2.6144388286072595E-11,-1.5550631493013852E-12,4.6203728798039485E-9,-6.217113567558934E-11,-1.0865450895108315E-11,7.175765419199935E-12
