% Model,cpm.mph
% Version,COMSOL 5.3.1.275
% Date,"Jul 24 2019, 13:12"
% Table,Probe Table 1 {tbl1} - 
% Time (h),c_in (mol/m^3),c_ads (mol/kg),m_ads (g),"alpha (1), Attenuation from source {avh1}",j_sides (mol/(m^2*s)),j_bottom (mol/(m^2*s)),j_ck (mol/(m^2*s)),j_d_sides (mol/(m^2*s)),j_d_bottom (mol/(m^2*s)),j_d_ck (mol/(m^2*s)),j_c_sides (mol/(m^2*s)),j_c_bottom (mol/(m^2*s)),j_c_ck (mol/(m^2*s))
17.802,2.1110074644378226E-6,2.21282016479592E-6,12.821741668056783,5.1582442908382055E-6,-2.6648286084105664E-10,-2.3341901099778066E-11,1.170633999662791E-8,-1.1600431577346692E-10,-1.5551922979461346E-12,1.1669939366939972E-8,-1.5047854506758972E-10,-2.178670880183185E-11,3.6400629687941707E-11
17.901999999999997,2.111832956366291E-6,2.21282158302166E-6,12.821749885680772,5.160261379407951E-6,-2.665582384764243E-10,-2.334193841470397E-11,1.1710960191090651E-8,-1.1604681500964886E-10,-1.5551690432155145E-12,1.16745453061625E-8,-1.505114234667752E-10,-2.1786769371488473E-11,3.641488492813462E-11
18.002,2.1126789558972803E-6,2.2128229994216076E-6,12.821758092725567,5.16232857828066E-6,-2.666256761231593E-10,-2.3341975427085105E-11,1.1715627843471636E-8,-1.1608119673093229E-10,-1.5551457928133208E-12,1.1679198349818528E-8,-1.5054447939222724E-10,-2.1786829634271826E-11,3.6429493653078366E-11
18.102,2.1134967571245166E-6,2.2128244139549214E-6,12.821766288954535,5.164326874630857E-6,-2.6669884193071805E-10,-2.334201214061371E-11,1.1720152736262219E-8,-1.1612209356228877E-10,-1.555122546698071E-12,1.1683709120246751E-8,-1.5057674836842926E-10,-2.1786889593915638E-11,3.644361601547879E-11
18.201999999999998,2.1143137519835537E-6,2.212825826696662E-6,12.821774474802588,5.166323200621308E-6,-2.667644967822778E-10,-2.334204855891105E-11,1.1724699976015438E-8,-1.1615529132389953E-10,-1.5550993048261892E-12,1.1688242251672202E-8,-1.5060920545837837E-10,-2.1786949254084813E-11,3.645772434322464E-11
18.302,2.1151163030649795E-6,2.2128272376288036E-6,12.821782650165286,5.168284233257903E-6,-2.6683587238290343E-10,-2.3342084685533143E-11,1.1729143746932234E-8,-1.1619508209361105E-10,-1.555076067155117E-12,1.1692672163448284E-8,-1.5064079028929247E-10,-2.178700861837802E-11,3.647158348397308E-11
18.401999999999997,2.115923347691431E-6,2.2128286467710593E-6,12.821790815156849,5.170256245866561E-6,-2.66899543429333E-10,-2.3342120523976686E-11,1.173360288907848E-8,-1.162268713161831E-10,-1.55505283364861E-12,1.1697117369097513E-8,-1.506726721131498E-10,-2.178706769032811E-11,3.64855199809953E-11
18.502,2.116700825557606E-6,2.212830054136616E-6,12.821798969853688,5.1721560121307805E-6,-2.6696920266584715E-10,-2.33421560776716E-11,1.173792634816327E-8,-1.162655110884552E-10,-1.5550296042669555E-12,1.1701427401639944E-8,-1.5070369157739215E-10,-2.178712647340464E-11,3.6498946523284785E-11
18.602,2.1174900485911794E-6,2.2128314597684767E-6,12.821807114504972,5.174084477697911E-6,-2.6703106097496566E-10,-2.3342191349982878E-11,1.1742308095743503E-8,-1.1629614910862905E-10,-1.5550063789678586E-12,1.1705795520276836E-8,-1.5073491186633643E-10,-2.178718497101506E-11,3.651257546664745E-11
18.701999999999998,2.1182610295797984E-6,2.212832863624214E-6,12.821815248864866,5.175968368849358E-6,-2.6709890693174065E-10,-2.3342226344222157E-11,1.17465480573396E-8,-1.163335297154328E-10,-1.5549831577161376E-12,1.1710022167606273E-8,-1.5076537721630789E-10,-2.178724318650601E-11,3.6525889733300926E-11
18.802,2.1190243175850994E-6,2.212834265777263E-6,12.821823373358878,5.1778334622049865E-6,-2.6715921412446484E-10,-2.33422610636375E-11,1.1750822819212127E-8,-1.1636315572418571E-10,-1.5549599404722236E-12,1.1714283747986763E-8,-1.507960584002797E-10,-2.1787301123165305E-11,3.653907122533875E-11
18.901999999999997,2.119780107388884E-6,2.2128356662087697E-6,12.821831487877756,5.1796802337139085E-6,-2.672252720035542E-10,-2.334229551142118E-11,1.1754981709306345E-8,-1.1639938021464701E-10,-1.5549367271986672E-12,1.1718429586003658E-8,-1.5082589178890748E-10,-2.1787358784222574E-11,3.655212330269303E-11
19.002,2.1205355018268615E-6,2.212837064936011E-6,12.82183959252161,5.181526039146942E-6,-2.672837237597351E-10,-2.3342329690710207E-11,1.1759177997767848E-8,-1.1642767821879643E-10,-1.5549135178592009E-12,1.1722612829324482E-8,-1.5085604554093866E-10,-2.17874161728511E-11,3.656516844337812E-11
19.102,2.1212673246399495E-6,2.2128384619731353E-6,12.821847687372424,5.183314247341893E-6,-2.6734834130544823E-10,-2.3342363604587713E-11,1.1763226830352559E-8,-1.1646297512734748E-10,-1.5548903124184997E-12,1.1726649023340686E-8,-1.5088536617810073E-10,-2.1787473292169257E-11,3.657780701187382E-11
19.201999999999998,2.122007334159215E-6,2.212839857358605E-6,12.821855772653054,5.185122459743898E-6,-2.674051618625686E-10,-2.3342397256078362E-11,1.176735500397024E-8,-1.1649025014121062E-10,-1.554867110836964E-12,1.1730764417340217E-8,-1.5091491172135792E-10,-2.178753014524144E-11,3.6590586630005365E-11
19.302,2.1227336200060737E-6,2.212841251052145E-6,12.821863848130139,5.186897138368295E-6,-2.6746811253050764E-10,-2.3342430648163904E-11,1.1771329771331003E-8,-1.1652438776006706E-10,-1.5548439130846027E-12,1.1734726641840891E-8,-1.509437247704405E-10,-2.178758673507925E-11,3.6603129490095134E-11
19.401999999999997,2.123449564039805E-6,2.21284264312224E-6,12.8218719142005,5.1886465467843125E-6,-2.675235245953441E-10,-2.3342463783766442E-11,1.1775356630275713E-8,-1.1655074497846447E-10,-1.5548207191230613E-12,1.1738741136367858E-8,-1.5097277961687972E-10,-2.1787643064643337E-11,3.6615493907868884E-11
19.502,2.1241621026988863E-6,2.212844033551874E-6,12.821879970765536,5.1903876341713075E-6,-2.6758486873378284E-10,-2.334249666576214E-11,1.1779263100981255E-8,-1.165838622465256E-10,-1.5547975289182643E-12,1.174263530148905E-8,-1.510010064872573E-10,-2.1787699136843907E-11,3.662779949222372E-11
19.602,2.12487148009313E-6,2.2128454223550894E-6,12.821888017906618,5.192120997011352E-6,-2.6763855929856864E-10,-2.3342529296980978E-11,1.178321331438108E-8,-1.166089775305029E-10,-1.5547743424389348E-12,1.1746573263927433E-8,-1.5102958176806595E-10,-2.1787754954541966E-11,3.664005045365349E-11
19.701999999999998,2.125561485164763E-6,2.2128468095465748E-6,12.821896055708857,5.1938070236035685E-6,-2.6769866581403957E-10,-2.334256168020112E-11,1.1787024524951913E-8,-1.166413290851442E-10,-1.5547511596502667E-12,1.1750372557692778E-8,-1.5105733672889608E-10,-2.1787810520550846E-11,3.665196725913623E-11
19.802,2.126257190124861E-6,2.212848195161418E-6,12.821904084375559,5.195506977866631E-6,-2.67750918925137E-10,-2.334259381815727E-11,1.1790911040172039E-8,-1.1666556839029726E-10,-1.5547279805205281E-12,1.1754247057931556E-8,-1.5108535053484026E-10,-2.1787865837636733E-11,3.666398224051263E-11
19.901999999999997,2.1269423767311422E-6,2.2128495791618017E-6,12.821912103687596,5.197181230544346E-6,-2.6780935697994153E-10,-2.3342625713534624E-11,1.1794653211540813E-8,-1.1669671532284972E-10,-1.554704805014302E-12,1.1757977395800051E-8,-1.5111264165709232E-10,-2.1787920908520298E-11,3.6675815740785615E-11
20.002,2.1276152739959197E-6,2.2128509616114133E-6,12.821920114013997,5.1988254542303535E-6,-2.6786027603242545E-10,-2.3342657368979825E-11,1.179844215140468E-8,-1.16720072770854E-10,-1.5546816331026256E-12,1.1761754714181735E-8,-1.5114020326157144E-10,-2.178797573587727E-11,3.66874372229513E-11
20.102,2.128287894249037E-6,2.2128523424952874E-6,12.821928115268049,5.200469001038681E-6,-2.679174597032071E-10,-2.3342688787095583E-11,1.1802130554382982E-8,-1.167505105603032E-10,-1.554658464756048E-12,1.1765431500560898E-8,-1.5116694914290413E-10,-2.1788030322339583E-11,3.669905382205624E-11
20.201999999999998,2.1289564596737317E-6,2.212853721824211E-6,12.821936107512252,5.202102639878471E-6,-2.6796685723623363E-10,-2.3342719964807068E-11,1.1805851635982212E-8,-1.1677278147906147E-10,-1.5546352999329806E-12,1.176914103559529E-8,-1.5119407575717203E-10,-2.178808466487412E-11,3.671060038695187E-11
20.302,2.1295768695033567E-6,2.2128550994957924E-6,12.821944090153316,5.20361861057756E-6,-2.680147234020918E-10,-2.3342016221598058E-11,1.1809227303989029E-8,-1.167987206641215E-10,-1.5546116105582843E-12,1.1772507247289385E-8,-1.512160027379707E-10,-2.1787404611039796E-11,3.672005669959486E-11
20.401999999999997,2.130019780037718E-6,2.2128564748936137E-6,12.821952059619537,5.204700861954544E-6,-2.6801332722431825E-10,-2.3337529215002558E-11,1.1811518448287782E-8,-1.1679769382105946E-10,-1.5545855052850586E-12,1.1774798347285602E-8,-1.5121563340325867E-10,-2.1782943709717567E-11,3.6720101002180956E-11
20.502,2.130063470242402E-6,2.2128578467717463E-6,12.821960008691631,5.204807618919019E-6,-2.679482143456961E-10,-2.3326834212620647E-11,1.1811594530637021E-8,-1.167712993572166E-10,-1.5545564643232918E-12,1.1774891349386401E-8,-1.5117691498847978E-10,-2.1772277748297305E-11,3.670318125062259E-11
20.602,2.1295338877433717E-6,2.2128592135146557E-6,12.821967928008704,5.203513584696886E-6,-2.6776891816734025E-10,-2.3307122532033705E-11,1.1808461441071439E-8,-1.1668729732564252E-10,-1.5545233717381276E-12,1.1771799994984675E-8,-1.5108162084169762E-10,-2.175259916029551E-11,3.666144608675727E-11
20.701999999999998,2.128214478300677E-6,2.21286057304468E-6,12.821975805532166,5.200289609254019E-6,-2.6745962788964433E-10,-2.3276190233173678E-11,1.1800948262699143E-8,-1.1654604457354707E-10,-1.5544857152402278E-12,1.1764360499053354E-8,-1.5091358331609738E-10,-2.1721704517933346E-11,3.6587763645786884E-11
20.802,2.125940232176161E-6,2.2128619230079503E-6,12.82198362762299,5.194732491486616E-6,-2.6697326621755767E-10,-2.3231741185795325E-11,1.1788062301718732E-8,-1.1631629134178818E-10,-1.5544426734434932E-12,1.1751586950168973E-8,-1.506569748757696E-10,-2.167729851235183E-11,3.647535154973399E-11
20.901999999999997,2.1224854531661286E-6,2.2128632607826603E-6,12.821991379089654,5.1862907429827356E-6,-2.662966859554352E-10,-2.3171894470249326E-11,1.1768674443149188E-8,-1.1599967369460964E-10,-1.5543937845575915E-12,1.1732356904960687E-8,-1.5029701226082522E-10,-2.1617500685691915E-11,3.631753818852289E-11
21.002,2.1177244817586034E-6,2.2128645835742235E-6,12.821999043739488,5.1746573148706005E-6,-2.6538718861306006E-10,-2.3094779228447004E-11,1.1741959930523822E-8,-1.1556697271007176E-10,-1.5543384406128258E-12,1.1705850762669706E-8,-1.4982021590298805E-10,-2.154044078783413E-11,3.610916785410423E-11
21.102,2.1114594845830827E-6,2.212865888306985E-6,12.822006603751225,5.15934880153886E-6,-2.6423461670467636E-10,-2.299882114721673E-11,1.1706885702398936E-8,-1.150207798641223E-10,-1.5542762551554155E-12,1.1671040906496707E-8,-1.4921383684055417E-10,-2.1444544892061375E-11,3.584479590223029E-11
21.201999999999998,2.1035609978791032E-6,2.212867171881202E-6,12.822014041164023,5.1400488584389815E-6,-2.628019129979955E-10,-2.2882509031716593E-11,1.1662732188181628E-8,-1.1433522771407976E-10,-1.5542067806700229E-12,1.1627211991228736E-8,-1.484666852839157E-10,-2.1328302251046503E-11,3.552019695285808E-11
21.302,2.0938819262532762E-6,2.2128684309600505E-6,12.822021336643337,5.116398058147837E-6,-2.610820077264233E-10,-2.2744559154039647E-11,1.1608667079336436E-8,-1.1351408756583398E-10,-1.554129713158126E-12,1.1573535408558736E-8,-1.4756792016058916E-10,-2.1190429440881588E-11,3.513167077767767E-11
21.401999999999997,2.0823247785116E-6,2.212869662163161E-6,12.82202847060229,5.088158181045959E-6,-2.5904351401977517E-10,-2.258377942781624E-11,1.1544106417559363E-8,-1.1253482895463341E-10,-1.5540447337199442E-12,1.1509429829214092E-8,-1.4650868506514167E-10,-2.1029734694096263E-11,3.467658834527317E-11
21.502,2.068743013046786E-6,2.212870861975079E-6,12.822035422671286,5.054971152885907E-6,-2.566830166574334E-10,-2.2399163455135934E-11,1.1468392574875588E-8,-1.1140280196893585E-10,-1.5539516226398952E-12,1.143424032108677E-8,-1.4528021468849708E-10,-2.0845211832496016E-11,3.4152253788837464E-11
21.602,2.053111113638569E-6,2.212872026833767E-6,12.822042172210818,5.016774624813062E-6,-2.5397513038935366E-10,-2.2189810438632818E-11,1.1381082421569624E-8,-1.1009935177484612E-10,-1.5538501700863446E-12,1.134752408019547E-8,-1.4387577861450798E-10,-2.0635960268546483E-11,3.355834137416096E-11
21.701999999999998,2.0352689916773363E-6,2.2128731530939177E-6,12.82204869809888,4.9731774204955066E-6,-2.509200774792023E-10,-2.1954978399242045E-11,1.128174844990249E-8,-1.086313516300388E-10,-1.5537402395321818E-12,1.1248855440789468E-8,-1.4228872584916386E-10,-2.040123815970986E-11,3.2893009113064223E-11
21.802,2.0152774200710142E-6,2.212874237050477E-6,12.822054978867287,4.924328038463291E-6,-2.474989952248533E-10,-2.1694036131828164E-11,1.1170084551218908E-8,-1.0698460152037448E-10,-1.5536217170415473E-12,1.1137926104988104E-8,-1.4051439370447874E-10,-2.0140414414786562E-11,3.2158446230791685E-11
21.901999999999997,1.9929489793925844E-6,2.212875274989667E-6,12.8220609929973,4.869768519563858E-6,-2.4371624250517435E-10,-2.1406492647107695E-11,1.1045912252405502E-8,-1.0516815525626599E-10,-1.5534945462230924E-12,1.1014558764778838E-8,-1.385480872489082E-10,-1.9852998100884595E-11,3.1353487626691416E-11
22.002,1.96844189863148E-6,2.212876263109591E-6,12.822066718459586,4.8098854961493745E-6,-2.3955803856989215E-10,-2.1091967642113287E-11,1.0909029258919884E-8,-1.0317088876133732E-10,-1.5533586991255671E-12,1.0878546335751345E-8,-1.3638714980855422E-10,-1.9538608942987697E-11,3.048292316854848E-11
22.102,1.941535167233296E-6,2.2128771976439625E-6,12.822072133431162,4.744138929186496E-6,-2.3503232942684164E-10,-2.075020707807769E-11,1.0759556886105215E-8,-1.0100346224444197E-10,-1.5532141951822707E-12,1.0730010713464162E-8,-1.340288671823993E-10,-1.9196992882895438E-11,2.954617264105948E-11
22.201999999999998,1.9125049940752864E-6,2.212878074678267E-6,12.822077215230156,4.673203734746418E-6,-2.3013222090262308E-10,-2.0381064388071292E-11,1.0597400228673009E-8,-9.865970011699554E-11,-1.5530610842447917E-12,1.056884946819917E-8,-1.3147252078562758E-10,-1.8828003303826498E-11,2.8550760473837696E-11
22.302,1.8810745932043907E-6,2.212878890449303E-6,12.822081942051454,4.596403586673884E-6,-2.2487043947387817E-10,-1.9984507962762968E-11,1.0422923638153825E-8,-9.61530996234513E-11,-1.5528994564942128E-12,1.03954273246954E-8,-1.287173398504266E-10,-1.843160850626874E-11,2.7496313458425696E-11
22.401999999999997,1.847631911343612E-6,2.2128796409572936E-6,12.82208629071915,4.514686432336575E-6,-2.192444960805521E-10,-1.9560608601142822E-11,1.0236167628497099E-8,-9.348006395536636E-11,-1.552729432316682E-12,1.0209774902228877E-8,-1.2576443212518573E-10,-1.8007879168826094E-11,2.6392726268223297E-11
22.502,1.8118706989167029E-6,2.2128803224483604E-6,12.822090239482161,4.427303951250144E-6,-2.132719116563543E-10,-1.9109542270060433E-11,1.0037728440367108E-8,-9.065710922206265E-11,-1.5525511671420495E-12,1.0012488289151563E-8,-1.2261480243429148E-10,-1.7556991102918345E-11,2.524015121557325E-11
22.602,1.774348823055997E-6,2.2128809392384495E-6,12.822093813348356,4.335619291105383E-6,-2.070261564237805E-10,-1.8637370219014873E-11,9.829887170927966E-9,-8.771744496651193E-11,-1.5524536575515227E-12,9.805827857071801E-9,-1.193087114572688E-10,-1.708491656146334E-11,2.4059313856163147E-11
22.701999999999998,1.7348758795323644E-6,2.212881482499647E-6,12.82209696116617,4.239167199389268E-6,-2.004046448700735E-10,-1.813161077541732E-11,9.60981052104461E-9,-8.463204697546993E-11,-1.5522595433964912E-12,9.586976412492733E-9,-1.157725978946032E-10,-1.6579351232020865E-11,2.2834108551867614E-11
22.802,1.6934323362076609E-6,2.2128819460651597E-6,12.822099647203355,4.137899949344896E-6,-1.9348110856367445E-10,-1.7601186336720104E-11,9.379633524780585E-9,-8.142062676916125E-11,-1.5520621129659048E-12,9.358050090350043E-9,-1.120604817945131E-10,-1.6049124223754166E-11,2.1583434430555422E-11
22.901999999999997,1.6503346063495121E-6,2.212882325606508E-6,12.82210184637941,4.0325906964247145E-6,-1.8624507336221476E-10,-1.7044191844447577E-11,9.139431545388279E-9,-7.80895640530785E-11,-1.5518555546499545E-12,9.119120425463679E-9,-1.0815550930913645E-10,-1.549233628979759E-11,2.0311119924609188E-11
23.002,1.6055284529329295E-6,2.212882617071375E-6,12.822103535214001,3.923106912521064E-6,-1.7873980841016044E-10,-1.646306539907079E-11,8.890466697514855E-9,-7.466039047220551E-11,-1.5516422089640657E-12,8.871440539059442E-9,-1.0407941793795489E-10,-1.491142319010675E-11,1.902615845541972E-11
23.102,1.5593115739472234E-6,2.212882816726677E-6,12.822104692076518,3.8101760223255254E-6,-1.7097528357171264E-10,-1.5857544009242827E-11,8.633274772973692E-9,-7.114538801251654E-11,-1.5514216260277448E-12,8.61553932628764E-9,-9.98298955591958E-11,-1.4306122383215115E-11,1.7735446686011358E-11
23.201999999999998,1.5117426435172443E-6,2.212882920744818E-6,12.822105294788726,3.6939413959941353E-6,-1.6298399321793036E-10,-1.5228840422072295E-11,8.368973292919667E-9,-6.756410116641976E-11,-1.5511946497538831E-12,8.352526795608692E-9,-9.54198920515107E-11,-1.3677645772318358E-11,1.6446497310956792E-11
23.302,1.463061721694534E-6,2.212882925430835E-6,12.822105321940908,3.5749896199843753E-6,-1.5478120165544034E-10,-1.4577518869242583E-11,8.098217914213897E-9,-6.392667360154796E-11,-1.5509613787587722E-12,8.083051269887272E-9,-9.08545280538926E-11,-1.3026557490483856E-11,1.5166644326635823E-11
23.401999999999997,1.41337976464403E-6,2.2128828269808622E-6,12.82210475149233,3.4535918155565836E-6,-1.4639757083718108E-10,-1.390462902663473E-11,7.82219346605387E-9,-6.025300950239431E-11,-1.550722290692136E-12,7.808290717460024E-9,-8.614456133478693E-11,-1.2353906735942572E-11,1.390274859386931E-11
23.502,1.3629326284181352E-6,2.2128826217321905E-6,12.822103562220159,3.330324296701235E-6,-1.3785528347004683E-10,-1.3211073591278216E-11,7.541759018314068E-9,-5.655637660533344E-11,-1.5504777041642045E-12,7.529097069205593E-9,-8.129890686471348E-11,-1.1660595887114012E-11,1.2661949108475419E-11
23.602,1.3118147888749488E-6,2.21288230600773E-6,12.822101732818231,3.2054179150680406E-6,-1.2918186786578527E-10,-1.249793582447903E-11,7.257952930091619E-9,-5.28531151660754E-11,-1.5502280486494447E-12,7.246502908234443E-9,-7.632875269970993E-11,-1.0947707775829621E-11,1.145002185717606E-11
23.701999999999998,1.2603030367703674E-6,2.212881876186641E-6,12.822099242306326,3.0795490085479416E-6,-1.204022169255463E-10,-1.1766293007756097E-11,6.971754601410406E-9,-4.915725938095475E-11,-1.5499737283148108E-12,6.961480851161799E-9,-7.124495754459146E-11,-1.0216319279441309E-11,1.0273750248589197E-11
23.802,1.2084797873239882E-6,2.212881328628993E-6,12.822096069593597,2.9529189586344735E-6,-1.1153494381676126E-10,-1.101731018434232E-11,6.684110815359531E-9,-4.5475565247092316E-11,-1.5497151842518633E-12,6.674972962062459E-9,-6.605937856966903E-11,-9.467595000090499E-12,9.137853297068824E-12
23.901999999999997,1.15662922471427E-6,2.2128806597085997E-6,12.822092193668828,2.826222169038061E-6,-1.026124795862095E-10,-1.0252182664870126E-11,6.396180989605548E-9,-4.182845533060554E-11,-1.5494528615366707E-12,6.38813291616644E-9,-6.07840242556038E-11,-8.702729803333464E-12,8.048073439113238E-12
24.002,1.104834570131976E-6,2.212879865909077E-6,12.822087594157045,2.699661990641821E-6,-9.365844021457651E-11,-9.472160799894083E-12,6.1089015204138914E-9,-3.822635964961679E-11,-1.5491872217902955E-12,6.101893433798899E-9,-5.5432080564959675E-11,-7.922973578103798E-12,7.008086615000753E-12
24.102,1.0533603277112524E-6,2.2128789437626456E-6,12.8220822509649,2.573884738990728E-6,-8.469734448746968E-11,-8.678530301478145E-12,5.823161091878224E-9,-3.4680564449526754E-11,-1.5489187350291613E-12,5.817138885179273E-9,-5.001678003794303E-11,-7.129611566448988E-12,6.0222066989602854E-12
24.201999999999998,1.0022802631158021E-6,2.2128778899763916E-6,12.822076145012264,2.449070660398497E-6,-7.575402269098377E-11,-7.872616795751839E-12,5.539931262002906E-9,-3.120188110010703E-11,-1.5486478809498732E-12,5.534838327484884E-9,-4.4552141590876566E-11,-6.323968914801968E-12,5.0929345180399945E-12
24.302,9.518128529487676E-7,2.2128767013286387E-6,12.822069257631776,2.325753602191497E-6,-6.685357356096512E-11,-7.055777306596326E-12,5.260033790304474E-9,-2.780145477543793E-11,-1.5483751463261378E-12,5.255810782585725E-9,-3.905211878552713E-11,-5.50740216027017E-12,4.223007718757189E-12
24.401999999999997,9.020410520672854E-7,2.212875374809012E-6,12.82206157138043,2.2041362644669172E-6,-5.801051029256405E-11,-6.2293988727034714E-12,4.98411716425465E-9,-2.447922691562641E-11,-1.54810102400764E-12,4.980703296469962E-9,-3.353128337693764E-11,-4.6812978486958026E-12,3.413867784708625E-12
24.502,8.531052480625655E-7,2.2128739075446205E-6,12.822053069611835,2.084561684141053E-6,-4.925426998035546E-11,-5.394893322917827E-12,4.713026295833011E-9,-2.125001173234433E-11,-1.547826011429119E-12,4.710359611066104E-9,-2.8004258248011207E-11,-3.847067311488715E-12,2.66668476689367E-12
24.602,8.051788572183008E-7,2.2128722969728384E-6,12.822043737477369,1.967453603701958E-6,-4.0598127559894153E-11,-4.553694147468246E-12,4.44721044527345E-9,-1.8112219285190647E-11,-1.5475506092379306E-12,4.445228340472326E-9,-2.2485908274703493E-11,-3.0061435382303217E-12,1.982104801129498E-12
24.701999999999998,7.583128377941085E-7,2.2128705407363934E-6,12.822033561318293,1.8529365395979087E-6,-3.2080759043353634E-11,-3.707252242501696E-12,4.187857548254762E-9,-1.5090014759012734E-11,-1.5472753200071824E-12,4.186497693983313E-9,-1.6990744284340984E-11,-2.1599769224945153E-12,1.359854271439783E-12
24.802,7.127351903671156E-7,2.2128686367700264E-6,12.822022529167873,1.7415676109746607E-6,-2.370840027285372E-11,-2.8570322683655156E-12,3.935173162124164E-9,-1.2175445580169102E-11,-1.5470006468421659E-12,3.934373675510824E-9,-1.1532954692684697E-11,-1.310031621523355E-12,7.994866133443629E-13
24.901999999999997,6.683916221663515E-7,2.2128665832240347E-6,12.82201063030839,1.6332141535093119E-6,-1.5506719868904342E-11,-2.0045086789035307E-12,3.689911261513603E-9,-9.380524641342077E-12,-1.5467270921180518E-12,3.689611675846719E-9,-6.12619522756227E-12,-4.577815867854821E-13,2.995856668731079E-13
25.002,6.25558363450394E-7,2.2128643785492583E-6,12.821997855763536,1.528551135518323E-6,-7.486561166827907E-12,-1.1511619295150737E-12,3.4524483375379383E-9,-6.70291793070813E-12,-1.5464551561495435E-12,3.452589751538621E-9,-7.836432361197466E-13,3.952932266344707E-13,-1.414140007019078E-13
25.102,5.8425321099447E-7,2.2128620213781826E-6,12.82198419760953,1.4276220434012972E-6,3.2542135361066924E-13,-2.984745897220865E-13,3.2236290047243015E-9,-4.156670208828958E-12,-1.546185335902042E-12,3.2241548036998293E-9,4.48209156243957E-12,1.2477107461799527E-12,-5.257989755279302E-13
25.201999999999998,5.444814588064607E-7,2.212859447953089E-6,12.821969286415083,1.3304398130603603E-6,7.907630226069192E-12,5.521896528933169E-13,3.0044306302612892E-9,-1.7514894419765893E-12,-1.5458833951595883E-12,3.0052867876156705E-9,9.65911966804572E-12,2.0980730480529024E-12,-8.561573543782719E-13
25.302,5.070039927850648E-7,2.212856747623615E-6,12.82195363989871,1.2388636683064496E-6,1.5254026204916862E-11,1.398189915158779E-12,2.794502640804189E-9,5.252899607682228E-13,-1.5455702694954127E-12,2.7956389181571957E-9,1.4728736244148647E-11,2.9437601846541983E-12,-1.1362773530105626E-12
25.401999999999997,4.705474637484478E-7,2.212853899228527E-6,12.821937135445905,1.1497821818906785E-6,2.2344743064563358E-11,2.240164165675098E-12,2.5941727636099265E-9,2.652234160480812E-12,-1.5452962273273239E-12,2.5955407016264837E-9,1.969250890408237E-11,3.78546039300243E-12,-1.3679380165545809E-12
25.502,4.3643302564800483E-7,2.2128508972635396E-6,12.821919741163176,1.0664235919609038E-6,2.9165451707055356E-11,3.0749332825289563E-12,2.404260617673186E-9,4.6360468911853045E-12,-1.545038008603836E-12,2.4058174684067695E-9,2.4529404815869994E-11,4.619971291132785E-12,-1.5568507335873224E-12
25.602,4.0395395006948687E-7,2.2128477405916404E-6,12.82190145046235,9.87061008456631E-7,3.569670094166468E-11,3.902285114690605E-12,2.22504855502938E-9,6.458042165179782E-12,-1.5447874470496358E-12,2.226753998924824E-9,2.923865877648494E-11,5.447072561740217E-12,-1.7054438954474848E-12
25.701999999999998,3.732726931286781E-7,2.2128444293245038E-6,12.82188226399049,9.120913927083453E-7,4.1960605847403986E-11,4.719876395518902E-12,2.0557869063226206E-9,8.156048063147915E-12,-1.544543180948991E-12,2.0576042481639164E-9,3.380455778425616E-11,6.264419576467882E-12,-1.8173418412936747E-12
25.802,3.4489925253577657E-7,2.2128409643609484E-6,12.821862186955626,8.427609235293812E-7,4.791228501660079E-11,5.527002421061378E-12,1.8973504663952454E-9,9.687072923573388E-12,-1.5443045426213387E-12,1.8992500241268526E-9,3.822521209302739E-11,7.071306963682731E-12,-1.899557731609854E-12
25.901999999999997,3.1725319159193716E-7,2.2128373469010524E-6,12.821841226311369,7.75207805679226E-7,5.361982078633032E-11,6.321780719847401E-12,1.7477335720169175E-9,1.1130766331703259E-11,-1.5440720211740726E-12,1.7496804336878594E-9,4.248905445462698E-11,7.865852741021458E-12,-1.9468616709445643E-12
26.002,2.9322221624587113E-7,2.2128335786435535E-6,12.82181939190071,7.164881452941636E-7,5.898693776659929E-11,7.10327409838227E-12,1.6093193505499878E-9,1.239283183999471E-11,-1.543845765577786E-12,1.61130020775182E-9,4.659410592660469E-11,8.647119863960069E-12,-1.9808572018346617E-12
26.102,2.676303458954913E-7,2.212829661475196E-6,12.821796694656015,6.539544397765126E-7,6.417671964011637E-11,7.86989269219321E-12,1.4774204592649502E-9,1.364512966856775E-11,-1.5436262791607575E-12,1.4793908992625663E-9,5.053158997154863E-11,9.413518971353973E-12,-1.97043999761755E-12
26.201999999999998,2.463287131204646E-7,2.21282554836567E-6,12.821772862069603,6.019039247980747E-7,6.902041129571166E-11,8.624597898974918E-12,1.356793158128322E-9,1.4706510021489408E-11,-1.5434972290704775E-12,1.358754056545401E-9,5.431390127422243E-11,1.0168095128045416E-11,-1.9608984170795846E-12
26.302,2.2588431503255623E-7,2.2128212921649524E-6,12.821748200370038,5.51948061783322E-7,7.360893851574168E-11,9.358797633695531E-12,1.24407156558738E-9,1.5701347608967042E-11,-1.5432893698616346E-12,1.246001072647004E-9,5.7907590906774653E-11,1.0902087003557173E-11,-1.9295070596251704E-12
26.401999999999997,2.0687443904075653E-7,2.2128168960307626E-6,12.821722727854098,5.05497451846537E-7,7.793840737009474E-11,1.0074451180643484E-11,1.139394585349182E-9,1.6613190375722173E-11,-1.5430878840077657E-12,1.1412790320884952E-9,6.132521699437254E-11,1.1617539064651235E-11,-1.884446739315984E-12
